sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,crosssell_skus,upsell_skus,additional_images,additional_image_labels,hide_from_product_page,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,configurable_variations,configurable_variation_labels,associated_skus
I0015791,,Default,simple,Default Category/COSMETIC,base,Sheer and Perfect Compact (Refill) SPF 21 - # O40 Natural Fair Ochre,Sheer and Perfect Compact (Refill) SPF 21 - # O40 Natural Fair Ochre by Shiseido for Women - 0.35 oz,Sheer and Perfect Compact (Refill) SPF 21 - # O40 Natural Fair Ochre by Shiseido for Women - 0.35 oz,1,1,Taxable Goods,"Catalog, Search",24.84,,,,I0015791,,,,images/I0015791.png,,images/I0015791.png,,images/I0015791.png,,,,,,,,Block after Info Column,,,,,,,,,,,,,"designer=Shiseido,size=0.35 oz,type=Compact,gender=Women,upc=730852113596,pwwsku=W-C-6394",5,0,1,0,0,1,1,1,0,1,1,,1,0,0,1,1,0,0,0,1,,,,,,,,,,,,,,
I0015792,,Default,simple,Default Category/COSMETIC,base,Sheer and Perfect Compact Foundation SPF 15 - # I40 Natural Fair Ivory,Sheer and Perfect Compact Foundation SPF 15 - # I40 Natural Fair Ivory by Shiseido for Women - 0.35,Sheer and Perfect Compact Foundation SPF 15 - # I40 Natural Fair Ivory by Shiseido for Women - 0.35,1,1,Taxable Goods,"Catalog, Search",30.36,,,,I0015792,,,,images/I0015792.png,,images/I0015792.png,,images/I0015792.png,,,,,,,,Block after Info Column,,,,,,,,,,,,,"designer=Shiseido,size=0.35 oz,type=Foundation,gender=Women,upc=730852112650,pwwsku=W-C-7460",-3,1,1,0,0,1,1,1,0,1,1,,1,0,0,1,1,0,0,0,1,,,,,,,,,,,,,,
I0015793,,Default,simple,Default Category/COSMETIC,base,Sheer and Perfect Compact SPF 15 - # B20 Natural Light Beige,Sheer and Perfect Compact SPF 15 - # B20 Natural Light Beige by Shiseido for Women - 0.35 oz Foundat,Sheer and Perfect Compact SPF 15 - # B20 Natural Light Beige by Shiseido for Women - 0.35 oz Foundat,1,1,Taxable Goods,"Catalog, Search",27.6,,,,I0015793,,,,images/I0015793.png,,images/I0015793.png,,images/I0015793.png,,,,,,,,Block after Info Column,,,,,,,,,,,,,"designer=Shiseido,size=0.35 oz,type=Foundation,gender=Women,upc=730852112698,pwwsku=W-C-15622",11,0,1,0,0,1,1,1,0,1,1,,1,0,0,1,1,0,0,0,1,,,,,,,,,,,,,,
I0015794,,Default,simple,Default Category/COSMETIC,base,Sheer And Perfect Compact SPF 15 - # B40 Natural Fair Beige,Sheer And Perfect Compact SPF 15 - # B40 Natural Fair Beige by Shiseido for Women - 0.35 oz Foundati,Sheer And Perfect Compact SPF 15 - # B40 Natural Fair Beige by Shiseido for Women - 0.35 oz Foundati,1,1,Taxable Goods,"Catalog, Search",30.36,,,,I0015794,,,,images/I0015794.png,,images/I0015794.png,,images/I0015794.png,,,,,,,,Block after Info Column,,,,,,,,,,,,,"designer=Shiseido,size=0.35 oz,type=Foundation,gender=Women,upc=730852112704,pwwsku=W-C-5996",34,0,1,0,0,1,1,1,0,1,1,,1,0,0,1,1,0,0,0,1,,,,,,,,,,,,,,
I0015795,,Default,simple,Default Category/COSMETIC,base,Sheer And Perfect Compact SPF 15 - # I20 Natural Light Ivory,Sheer And Perfect Compact SPF 15 - # I20 Natural Light Ivory by Shiseido for Women - 0.35 oz Foundat,Sheer And Perfect Compact SPF 15 - # I20 Natural Light Ivory by Shiseido for Women - 0.35 oz Foundat,1,1,Taxable Goods,"Catalog, Search",30.36,,,,I0015795,,,,images/I0015795.png,,images/I0015795.png,,images/I0015795.png,,,,,,,,Block after Info Column,,,,,,,,,,,,,"designer=Shiseido,size=0.35 oz,type=Foundation,gender=Women,upc=730852112643,pwwsku=W-C-5997",14,0,1,0,0,1,1,1,0,1,1,,1,0,0,1,1,0,0,0,1,,,,,,,,,,,,,,
I0015796,,Default,simple,Default Category/COSMETIC,base,Sheer And Perfect Compact SPF 15 - # I60 Natural Deep Ivory,Sheer And Perfect Compact SPF 15 - # I60 Natural Deep Ivory by Shiseido for Women - 0.35 oz Foundati,Sheer And Perfect Compact SPF 15 - # I60 Natural Deep Ivory by Shiseido for Women - 0.35 oz Foundati,1,1,Taxable Goods,"Catalog, Search",27.6,,,,I0015796,,,,images/I0015796.png,,images/I0015796.png,,images/I0015796.png,,,,,,,,Block after Info Column,,,,,,,,,,,,,"designer=Shiseido,size=0.35 oz,type=Foundation,gender=Women,upc=730852112667,pwwsku=W-C-14849",9,0,1,0,0,1,1,1,0,1,1,,1,0,0,1,1,0,0,0,1,,,,,,,,,,,,,,
I0015797,,Default,simple,Default Category/COSMETIC,base,Sheer and Perfect Foundation SPF 15 - # I40 Natural Fair Ivory,Sheer and Perfect Foundation SPF 15 - # I40 Natural Fair Ivory by Shiseido for Women - 1 oz Foundati,Sheer and Perfect Foundation SPF 15 - # I40 Natural Fair Ivory by Shiseido for Women - 1 oz Foundati,1,1,Taxable Goods,"Catalog, Search",27.6,,,,I0015797,,,,images/I0015797.png,,images/I0015797.png,,images/I0015797.png,,,,,,,,Block after Info Column,,,,,,,,,,,,,"designer=Shiseido,size=1.2 oz,type=Foundation,gender=Women,upc=730852110441,pwwsku=W-C-8091",2,0,1,0,0,1,1,1,0,1,1,,1,0,0,1,1,0,0,0,1,,,,,,,,,,,,,,
I0015798,,Default,simple,Default Category/COSMETIC,base,Sheer Blushing Powder - # 030 Soft Peach,Sheer Blushing Powder - # 030 Soft Peach by Gucci for Women - 0.14 oz Powder,Sheer Blushing Powder - # 030 Soft Peach by Gucci for Women - 0.14 oz Powder,1,1,Taxable Goods,"Catalog, Search",47.36,,,,I0015798,,,,images/I0015798.png,,images/I0015798.png,,images/I0015798.png,,,,,,,,Block after Info Column,,,,,,,,,,,,,"designer=Gucci,size=0.14 oz,type=Powder,gender=Women,upc=737052838236,pwwsku=W-C-14913",1,0,1,0,0,1,1,1,0,1,1,,1,0,0,1,1,0,0,0,1,,,,,,,,,,,,,,
I0015799,,Default,simple,Default Category/COSMETIC,base,Sheer Blushing Powder - # 040 Nude Freesia,Sheer Blushing Powder - # 040 Nude Freesia by Gucci for Women - 0.14 oz Powder,Sheer Blushing Powder - # 040 Nude Freesia by Gucci for Women - 0.14 oz Powder,1,1,Taxable Goods,"Catalog, Search",47.36,,,,I0015799,,,,images/I0015799.png,,images/I0015799.png,,images/I0015799.png,,,,,,,,Block after Info Column,,,,,,,,,,,,,"designer=Gucci,size=0.14 oz,type=Powder,gender=Women,upc=737052838274,pwwsku=W-C-14912",1,0,1,0,0,1,1,1,0,1,1,,1,0,0,1,1,0,0,0,1,,,,,,,,,,,,,,
I0015800,,Default,simple,Default Category/COSMETIC,base,Sheer Blushing Powder - # 070 Tulip Blossom,Sheer Blushing Powder - # 070 Tulip Blossom by Gucci for Women - 0.14 oz Powder,Sheer Blushing Powder - # 070 Tulip Blossom by Gucci for Women - 0.14 oz Powder,1,1,Taxable Goods,"Catalog, Search",47.36,,,,I0015800,,,,images/I0015800.png,,images/I0015800.png,,images/I0015800.png,,,,,,,,Block after Info Column,,,,,,,,,,,,,"designer=Gucci,size=0.14 oz,type=Powder,gender=Women,upc=737052838397,pwwsku=W-C-14915",1,0,1,0,0,1,1,1,0,1,1,,1,0,0,1,1,0,0,0,1,,,,,,,,,,,,,,
