sku,qty,is_in_stock,price
I0010005,0,0,4.83
I0010006,0,0,4.83
I0010007,0,0,4.83
I0010008,0,0,4.83
I0010009,0,0,4.83
I0010010,0,0,4.83
I0010011,0,0,4.83
I0010012,0,0,4.83
I0010013,2,1,18.98
I0010014,1,1,24.84
I0010015,24,1,24.84
I0010016,31,1,26.91
I0010017,0,0,20.01
I0010018,0,0,19.32
I0010019,40,1,23.46
I0010020,28,1,23.46
I0010021,0,0,26.22
I0010022,0,0,26.22
I0010023,0,0,26.22
I0010024,0,0,26.22
I0010025,0,0,24.84
I0010026,3,1,35.88
I0010027,13,1,17.94
I0010028,27,1,17.25
I0010029,8,1,17.94
I0010030,10,1,17.25
I0010031,19,1,17.25
I0010032,9,1,10.35
I0010033,18,1,9.66
I0010034,11,1,10.35
I0010035,12,1,10.35
I0010036,24,1,9.66
I0010037,15,1,10.35
I0010038,23,1,9.66
I0010039,100,1,10.35
I0010040,81,1,10.35
I0010041,0,0,10.35
I0010042,2,1,10.35
I0010043,11,1,10.7
I0010044,0,0,10.7
I0010045,5,1,10.35
I0010046,18,1,9.66
I0010047,10,1,9.66
I0010048,0,0,17.94
I0010049,1,1,16.56
I0010050,3,1,20.7
I0010051,0,0,15.18
I0010052,0,0,15.18
I0010053,251,1,15.18
I0010054,0,0,15.18
I0010055,0,0,15.18
I0010056,-12,0,15.18
I0010057,0,0,15.18
I0010058,0,0,15.18
I0010059,-5,0,16.56
I0010060,68,1,17.25
I0010061,-14,0,17.25
I0010062,0,0,17.25
I0010063,0,0,20.7
I0010064,0,0,38.64
I0010065,0,0,23.03
I0010066,1,1,23.46
I0010067,18,1,11.39
I0010068,18,1,20.7
I0010069,42,1,20.7
I0010070,24,1,20.7
I0010071,0,0,20.7
I0010072,42,1,20.7
I0010073,1,1,26.22
I0010074,39,1,17.94
I0010075,2,1,22.08
I0010076,102,1,19.32
I0010077,0,0,33.12
I0010078,2,1,33.12
I0010079,3,1,41.4
I0010080,-6,0,46.92
I0010081,-3,0,30.36
I0010082,4,1,30.36
I0010083,1,1,30.36
I0010084,3,1,33.12
I0010085,3,1,33.12
I0010086,6,1,30.36
I0010087,4,1,30.36
I0010088,1,1,30.36
I0010089,2,1,30.36
I0010090,3,1,33.12
I0010091,3,1,33.12
I0010092,3,1,30.36
I0010093,3,1,30.36
I0010094,1,1,30.36
I0010095,-2,0,30.36
I0010096,2,1,46.92
I0010097,3,1,31.74
I0010098,0,0,1.38
I0010099,0,0,1.38
I0010100,0,0,1.38
I0010101,0,0,1.38
I0010102,0,0,1.38
I0010103,0,0,1.38
I0010104,0,0,1.38
I0010105,0,0,1.38
I0010106,0,0,14.02
I0010107,2,1,14.15
I0010108,0,0,14.57
I0010109,0,0,14.15
I0010110,0,0,35.88
I0010111,0,0,35.88
I0010112,0,0,35.88
I0010113,0,0,35.88
I0010114,0,0,35.88
I0010115,1,1,35.88
I0010116,14,1,35.88
I0010117,0,0,35.88
I0010118,0,0,35.88
I0010119,9,1,35.88
I0010120,3,1,35.88
I0010121,7,1,35.88
I0010122,0,0,35.88
I0010123,0,0,35.88
I0010124,0,0,35.88
I0010125,8,1,35.88
I0010126,-2,0,35.88
