sku,qty,is_in_stock,price
I0057771,0,0,4.55
I0057772,0,0,6.83
I0057773,0,0,4.55
I0057774,0,0,4.18
I0057775,0,0,5.31
I0057776,0,0,3.8
I0057777,0,0,5.31
I0057778,0,0,4.94
I0057779,0,0,4.55
I0057780,0,0,5.31
I0057781,0,0,4.55
I0057782,0,0,5.7
I0057783,0,0,3.8
I0057784,0,0,4.55
I0057785,0,0,5.7
I0057786,0,0,8.35
I0057787,0,0,5.7
I0057788,0,0,3.8
I0057789,0,0,6.46
I0057790,0,0,6.83
I0057791,0,0,7.59
I0057792,0,0,8.97
I0057793,0,0,8.35
I0057794,0,0,5.31
I0057795,0,0,4.55
I0057796,0,0,4.55
I0057797,0,0,6.07
I0057798,0,0,6.07
I0057799,0,0,6.07
I0057800,0,0,5.7
I0057801,0,0,6.46
I0057802,0,0,5.69
I0057803,0,0,5.87
I0057804,0,0,11
I0057805,0,0,11
I0057806,0,0,10.35
I0057807,0,0,3.8
I0057808,0,0,3.04
I0057809,0,0,4.94
I0057810,0,0,25.53
I0057811,0,0,5.12
I0057812,0,0,5.12
I0057813,0,0,5.51
I0057814,0,0,5.7
I0057815,0,0,6.83
I0057816,0,0,7.98
I0057817,0,0,24.84
I0057818,0,0,9.26
I0057819,0,0,9.87
I0057820,0,0,13
I0057821,0,0,3.63
I0057822,0,0,3.63
I0057823,0,0,3.63
I0057824,0,0,3.63
I0057825,0,0,3.63
I0057826,0,0,3.63
I0057827,0,0,3.63
I0057828,0,0,3.63
I0057829,0,0,3.63
I0057830,0,0,3.63
I0057831,0,0,3.63
I0057832,0,0,3.63
I0057833,0,0,3.63
I0057834,0,0,3.63
I0057835,0,0,3.63
I0057836,0,0,3.63
I0057837,0,0,3.63
I0057838,0,0,3.63
I0057839,0,0,3.63
I0057840,0,0,3.63
I0057841,0,0,3.63
I0057842,0,0,3.63
I0057843,0,0,3.63
I0057844,0,0,3.63
I0057845,0,0,3.63
I0057846,0,0,3.63
I0057847,0,0,3.63
I0057848,0,0,3.63
I0057849,0,0,3.63
I0057850,0,0,3.63
I0057851,0,0,3.63
I0057852,0,0,3.63
I0057853,0,0,3.63
