sku,manage_stock,is_in_stock
I0040150,1,0
I0040151,1,0
I0040152,1,0
I0040153,1,0
I0040154,1,0
I0040155,1,0
I0040156,1,0
I0040157,1,0
I0040158,1,0
I0040159,1,1
I0040160,1,0
I0040161,1,0
I0040162,1,0
I0040163,1,0
I0040164,1,1
I0040165,1,0
I0040166,1,1
I0040167,1,0
I0040168,1,0
I0040169,1,1
I0040170,1,1
I0040171,1,1
I0040172,1,1
I0040173,1,1
I0040174,1,0
I0040175,1,1
I0040176,1,1
I0040177,1,0
I0040178,1,1
I0040179,1,1
I0040180,1,1
I0040181,1,1
I0040182,1,1
I0040183,1,0
I0040184,1,1
I0040185,1,0
I0040186,1,1
I0040187,1,0
I0040188,1,0
I0040189,1,1
I0040190,1,0
I0040191,1,0
I0040192,1,0
I0040193,1,0
I0040194,1,1
I0040195,1,0
I0040196,1,0
I0040197,1,0
I0040198,1,0
I0040199,1,0
I0040200,1,0
I0040201,1,1
I0040202,1,1
I0040203,1,0
I0040204,1,0
I0040205,1,0
I0040206,1,0
I0040207,1,1
I0040208,1,0
I0040209,1,1
I0040210,1,1
I0040211,1,1
I0040212,1,1
I0040213,1,1
I0040214,1,1
I0040215,1,1
I0040216,1,1
I0040217,1,1
I0040218,1,1
I0040219,1,1
I0040220,1,0
I0040221,1,1
I0040222,1,1
I0040223,1,1
I0040224,1,0
I0040225,1,1
I0040226,1,1
I0040227,1,0
I0040228,1,0
I0040229,1,1
I0040230,1,0
I0040231,1,0
I0040232,1,0
I0040233,1,0
I0040234,1,0
I0040235,1,0
I0040236,1,0
I0040237,1,0
I0040238,1,0
I0040239,1,0
I0040240,1,1
I0040241,1,1
I0040242,1,0
I0040243,1,0
I0040244,1,0
I0040245,1,0
I0040246,1,1
I0040247,1,0
I0040248,1,1
I0040249,1,0
I0040250,1,1
I0040251,1,0
I0040252,1,1
I0040253,1,0
I0040254,1,0
I0040255,1,1
I0040256,1,0
I0040257,1,1
I0040258,1,1
I0040259,1,0
I0040260,1,0
I0040261,1,0
I0040262,1,1
I0040263,1,0
I0040264,1,0
I0040265,1,0
I0040266,1,1
I0040267,1,1
I0040268,1,0
I0040269,1,0
I0040270,1,0
I0040271,1,0
I0040272,1,0
I0040273,1,0
I0040274,1,1
I0040275,1,1
I0040276,1,0
I0040277,1,0
I0040278,1,1
I0040279,1,0
I0040280,1,1
I0040281,1,1
I0040282,1,0
I0040283,1,1
I0040284,1,1
I0040285,1,1
I0040286,1,0
I0040287,1,1
I0040288,1,0
I0040289,1,0
I0040290,1,0
I0040291,1,0
I0040292,1,0
I0040293,1,1
I0040294,1,1
I0040295,1,0
I0040296,1,1
I0040297,1,1
I0040298,1,0
I0040299,1,0
I0040300,1,0
I0040301,1,0
I0040302,1,0
I0040303,1,0
I0040304,1,0
I0040305,1,0
I0040306,1,0
I0040307,1,0
I0040308,1,0
I0040309,1,0
I0040310,1,0
I0040311,1,1
I0040312,1,1
I0040313,1,0
I0040314,1,1
I0040315,1,0
I0040316,1,1
I0040317,1,0
I0040318,1,1
I0040319,1,0
I0040320,1,1
I0040321,1,0
I0040322,1,1
I0040323,1,0
I0040324,1,0
I0040325,1,0
I0040326,1,1
I0040327,1,1
I0040328,1,0
I0040329,1,0
I0040330,1,1
I0040331,1,0
I0040332,1,0
I0040333,1,0
I0040334,1,0
I0040335,1,1
I0040336,1,0
I0040337,1,1
I0040338,1,1
I0040339,1,1
I0040340,1,0
I0040341,1,0
I0040342,1,1
I0040343,1,0
I0040344,1,0
I0040345,1,0
I0040346,1,1
I0040347,1,1
I0040348,1,0
I0040349,1,0
I0040350,1,0
I0040351,1,1
I0040352,1,1
I0040353,1,0
I0040354,1,0
I0040355,1,0
I0040356,1,1
I0040357,1,0
I0040358,1,1
I0040359,1,0
I0040360,1,1
I0040361,1,1
I0040362,1,1
I0040363,1,0
I0040364,1,0
I0040365,1,0
I0040366,1,1
I0040367,1,1
I0040368,1,0
I0040369,1,0
I0040370,1,1
I0040371,1,0
I0040372,1,1
I0040373,1,1
I0040374,1,1
I0040375,1,0
I0040376,1,0
I0040377,1,0
I0040378,1,1
I0040379,1,0
I0040380,1,0
I0040381,1,1
I0040382,1,1
I0040383,1,0
I0040384,1,1
I0040385,1,1
I0040386,1,1
I0040387,1,1
I0040388,1,0
I0040389,1,0
I0040390,1,1
I0040391,1,0
I0040392,1,1
I0040393,1,1
I0040394,1,1
I0040395,1,1
I0040396,1,1
I0040397,1,1
I0040398,1,1
I0040399,1,0
I0040400,1,1
I0040401,1,1
I0040402,1,0
I0040403,1,1
I0040404,1,1
I0040405,1,1
I0040406,1,0
I0040407,1,1
I0040408,1,0
I0040409,1,1
I0040410,1,0
I0040411,1,0
I0040412,1,0
I0040413,1,0
I0040414,1,1
I0040415,1,0
I0040416,1,1
