sku,manage_stock,is_in_stock
I0013343,1,0
I0013344,1,0
I0013345,1,0
I0013346,1,0
I0013347,1,0
I0013348,1,0
I0013349,1,0
I0013350,1,1
I0013351,1,1
I0013352,1,0
I0013353,1,0
I0013354,1,0
I0013355,1,1
I0013356,1,0
I0013357,1,1
I0013358,1,1
I0013359,1,1
I0013360,1,1
I0013361,1,1
I0013362,1,1
I0013363,1,1
I0013364,1,1
I0013365,1,1
I0013366,1,1
I0013367,1,1
I0013368,1,0
I0013369,1,1
I0013370,1,0
I0013371,1,1
I0013372,1,0
I0013373,1,0
I0013374,1,0
I0013375,1,0
I0013376,1,1
I0013377,1,0
I0013378,1,1
I0013379,1,1
I0013380,1,0
I0013381,1,0
I0013382,1,1
I0013383,1,1
I0013384,1,1
I0013385,1,0
I0013386,1,1
I0013387,1,1
I0013388,1,1
I0013389,1,1
I0013390,1,1
I0013391,1,1
I0013392,1,1
I0013393,1,0
I0013394,1,0
I0013395,1,0
I0013396,1,1
I0013397,1,1
I0013398,1,1
I0013399,1,1
I0013400,1,1
I0013401,1,1
I0013402,1,1
I0013403,1,1
I0013404,1,1
I0013405,1,1
I0013406,1,1
I0013407,1,1
I0013408,1,1
I0013409,1,1
I0013410,1,1
I0013411,1,1
I0013412,1,0
I0013413,1,1
I0013414,1,1
I0013415,1,0
I0013416,1,1
I0013417,1,0
I0013418,1,1
I0013419,1,1
I0013420,1,1
I0013421,1,1
I0013422,1,0
I0013423,1,0
I0013424,1,1
I0013425,1,1
I0013426,1,0
I0013427,1,0
I0013428,1,0
I0013429,1,0
I0013430,1,0
I0013431,1,0
I0013432,1,0
I0013433,1,1
I0013434,1,0
I0013435,1,0
I0013436,1,1
I0013437,1,0
I0013438,1,0
I0013439,1,0
I0013440,1,0
I0013441,1,1
I0013442,1,1
I0013443,1,0
I0013444,1,1
I0013445,1,0
I0013446,1,1
I0013447,1,1
I0013448,1,1
I0013449,1,0
I0013450,1,0
I0013451,1,0
I0013452,1,1
I0013453,1,1
I0013454,1,0
I0013455,1,0
I0013456,1,0
I0013457,1,1
I0013458,1,1
I0013459,1,0
I0013460,1,1
I0013461,1,0
I0013462,1,1
I0013463,1,0
I0013464,1,0
I0013465,1,1
I0013466,1,1
I0013467,1,1
I0013468,1,1
I0013469,1,1
I0013470,1,1
I0013471,1,1
I0013472,1,1
I0013473,1,1
I0013474,1,1
I0013475,1,1
I0013476,1,1
I0013477,1,1
I0013478,1,1
I0013479,1,1
I0013480,1,1
I0013481,1,1
I0013482,1,0
I0013483,1,0
I0013484,1,1
I0013485,1,0
I0013486,1,1
I0013487,1,0
I0013488,1,0
I0013489,1,1
I0013490,1,1
I0013491,1,0
I0013492,1,1
I0013493,1,1
I0013494,1,0
I0013495,1,0
I0013496,1,0
I0013497,1,0
I0013498,1,0
I0013499,1,0
I0013500,1,0
I0013501,1,1
I0013502,1,1
I0013503,1,0
I0013504,1,1
I0013505,1,1
I0013506,1,1
I0013507,1,0
I0013508,1,0
I0013509,1,0
I0013510,1,0
I0013511,1,0
I0013512,1,1
I0013513,1,1
I0013514,1,1
I0013515,1,1
I0013516,1,1
I0013517,1,1
I0013518,1,0
I0013519,1,0
I0013520,1,1
I0013521,1,1
I0013522,1,1
I0013523,1,1
I0013524,1,1
I0013525,1,1
I0013526,1,0
I0013527,1,1
I0013528,1,1
I0013529,1,1
I0013530,1,1
I0013531,1,1
I0013532,1,1
I0013533,1,1
I0013534,1,1
I0013535,1,1
I0013536,1,1
I0013537,1,1
I0013538,1,0
I0013539,1,0
I0013540,1,0
I0013541,1,0
I0013542,1,0
I0013543,1,0
I0013544,1,0
I0013545,1,0
I0013546,1,0
I0013547,1,0
I0013548,1,0
I0013549,1,0
I0013550,1,0
I0013551,1,0
I0013552,1,0
I0013553,1,0
I0013554,1,0
I0013555,1,0
I0013556,1,1
I0013557,1,1
I0013558,1,0
I0013559,1,0
I0013560,1,0
I0013561,1,0
I0013562,1,0
I0013563,1,1
I0013564,1,1
I0013565,1,1
I0013566,1,1
I0013567,1,1
I0013568,1,1
I0013569,1,1
I0013570,1,1
I0013571,1,1
I0013572,1,1
I0013573,1,0
I0013574,1,0
I0013575,1,0
I0013576,1,0
I0013577,1,1
I0013578,1,0
I0013579,1,0
I0013580,1,0
I0013581,1,1
I0013582,1,1
I0013583,1,1
I0013584,1,1
I0013585,1,0
I0013586,1,1
I0013587,1,1
I0013588,1,0
I0013589,1,1
I0013590,1,0
I0013591,1,1
I0013592,1,1
I0013593,1,1
I0013594,1,0
I0013595,1,1
I0013596,1,1
I0013597,1,1
I0013598,1,1
I0013599,1,1
I0013600,1,1
I0013601,1,0
I0013602,1,0
I0013603,1,0
I0013604,1,0
I0013605,1,0
I0013606,1,1
I0013607,1,0
I0013608,1,0
I0013609,1,0
I0013610,1,0
I0013611,1,1
I0013612,1,0
I0013613,1,0
I0013614,1,1
I0013615,1,1
I0013616,1,1
I0013617,1,1
I0013618,1,1
I0013619,1,0
I0013620,1,0
I0013621,1,0
I0013622,1,0
I0013623,1,0
I0013624,1,0
I0013625,1,0
I0013626,1,0
I0013627,1,0
I0013628,1,1
I0013629,1,1
I0013630,1,0
I0013631,1,0
I0013632,1,0
I0013633,1,1
I0013634,1,0
I0013635,1,0
I0013636,1,0
I0013637,1,0
I0013638,1,0
I0013639,1,0
I0013640,1,1
I0013641,1,1
I0013642,1,1
I0013643,1,1
I0013644,1,1
I0013645,1,1
I0013646,1,1
I0013647,1,1
I0013648,1,1
I0013649,1,0
I0013650,1,1
I0013651,1,1
I0013652,1,1
I0013653,1,1
I0013654,1,1
I0013655,1,1
