sku,manage_stock,is_in_stock,errors
I0080790,1,1,
I0080791,1,1,
I0080792,1,1,
I0080793,1,0,
I0080794,1,1,
I0080795,1,1,
I0080796,1,1,
I0080797,1,1,
I0080798,1,1,
I0080799,1,1,
I0080800,1,1,
I0080801,1,1,
I0080802,1,0,
I0080803,1,1,
I0080804,1,1,
I0080805,1,1,
I0080806,1,1,
I0080807,1,1,
I0080808,1,1,
I0080809,1,1,
I0080810,1,1,
I0080811,1,1,
I0080812,1,1,
I0080813,1,1,
I0080814,1,0,
I0080815,1,1,
I0080816,1,0,
I0080817,1,1,
I0080818,1,1,
I0080819,1,1,
I0080820,1,1,
I0080821,1,0,
I0080822,1,0,
I0080823,1,1,
I0080824,1,1,
I0080825,1,1,
I0080826,1,0,
I0080827,1,1,
I0080828,1,1,
I0080829,1,1,
I0080830,1,1,
I0080831,1,1,
I0080832,1,0,
I0080833,1,1,
I0080834,1,1,
I0080835,1,1,
I0080836,1,1,
I0080837,1,0,
I0080838,1,1,
I0080839,1,1,
I0080840,1,1,
I0080841,1,0,
I0080842,1,1,
I0080843,1,1,
I0080844,1,1,
I0080845,1,1,
I0080846,1,1,
I0080847,1,1,
I0080848,1,1,
I0080849,1,0,
I0080850,1,1,
I0080851,1,1,
I0080852,1,1,
I0080853,1,0,
I0080854,1,1,
I0080855,1,0,
I0080856,1,0,
I0080857,1,0,
I0080858,1,0,
I0080859,1,0,
I0080860,1,0,
I0080861,1,0,
I0080862,1,0,
I0080863,1,1,
I0080864,1,1,
I0080865,1,1,
I0080866,1,1,
I0080867,1,1,
I0080868,1,1,
I0080869,1,0,
I0080870,1,1,
I0080871,1,0,
I0080872,1,1,
I0080873,1,0,
I0080874,1,1,
I0080875,1,1,
I0080876,1,0,
I0080877,1,1,
I0080878,1,1,
I0080879,1,1,
I0080880,1,1,
I0080881,1,1,
I0080882,1,1,
I0080883,1,1,
I0080884,1,0,
I0080885,1,0,
I0080886,1,1,
I0080887,1,0,
I0080888,1,1,
I0080889,1,0,
I0080890,1,1,
I0080891,1,1,
I0080892,1,1,
I0080893,1,1,
I0080894,1,0,
I0080895,1,0,
I0080896,1,0,
I0080897,1,1,
I0080898,1,1,
I0080899,1,1,
I0080900,1,0,
I0080901,1,1,
I0080902,1,1,
I0080903,1,0,
I0080904,1,0,
I0080905,1,0,
I0080906,1,1,
I0080907,1,0,
I0080908,1,1,
I0080909,1,1,
I0080910,1,1,
I0080911,1,1,
I0080912,1,1,
I0080913,1,1,
I0080914,1,1,
I0080915,1,1,
I0080916,1,1,
I0080917,1,1,
I0080918,1,1,
I0080919,1,1,
I0080920,1,1,
I0080921,1,1,
I0080922,1,1,
I0080923,1,0,
I0080924,1,0,
I0080925,1,1,
I0080926,1,1,
I0080927,1,1,
I0080928,1,1,
I0080929,1,1,
I0080930,1,1,
I0080931,1,1,
I0080932,1,1,
I0080933,1,1,
I0080934,1,1,
I0080935,1,1,
I0080936,1,1,
I0080937,1,1,
I0080938,1,1,
I0080939,1,1,
I0080940,1,1,
I0080941,1,1,
I0080942,1,1,
I0080943,1,1,
I0080944,1,1,
I0080945,1,1,
I0080946,1,1,
I0080947,1,1,
I0080948,1,1,
I0080949,1,0,
I0080950,1,1,
I0080951,1,1,
I0080952,1,1,
I0080953,1,1,
I0080954,1,1,
I0080955,1,1,
I0080956,1,1,
I0080957,1,1,
I0080958,1,1,
I0080959,1,1,
I0080960,1,0,
I0080961,1,1,
I0080962,1,1,
