sku,manage_stock,is_in_stock
I0033717,1,1
I0033718,1,1
I0033719,1,1
I0033720,1,0
I0033721,1,1
I0033722,1,1
I0033723,1,0
I0033724,1,1
I0033725,1,1
I0033726,1,1
I0033727,1,1
I0033728,1,1
I0033729,1,1
I0033730,1,1
I0033731,1,0
I0033732,1,1
I0033733,1,1
I0033734,1,0
I0033735,1,1
I0033736,1,1
I0033737,1,1
I0033738,1,0
I0033739,1,1
I0033740,1,1
I0033741,1,1
I0033742,1,1
I0033743,1,0
I0033744,1,1
I0033745,1,0
I0033746,1,0
I0033747,1,1
I0033748,1,1
I0033749,1,1
I0033750,1,1
I0033751,1,0
I0033752,1,0
I0033753,1,0
I0033754,1,0
I0033755,1,0
I0033756,1,1
I0033757,1,0
I0033758,1,1
I0033759,1,1
I0033760,1,0
I0033761,1,1
I0033762,1,0
I0033763,1,0
I0033764,1,0
I0033765,1,0
I0033766,1,1
I0033767,1,1
I0033768,1,1
I0033769,1,1
I0033770,1,1
I0033771,1,1
I0033772,1,1
I0033773,1,1
I0033774,1,1
I0033775,1,0
I0033776,1,0
I0033777,1,1
I0033778,1,1
I0033779,1,0
I0033780,1,1
I0033781,1,1
I0033782,1,1
I0033783,1,0
I0033784,1,1
I0033785,1,1
I0033786,1,1
I0033787,1,1
I0033788,1,0
I0033789,1,1
I0033790,1,1
I0033791,1,1
I0033792,1,1
I0033793,1,1
I0033794,1,1
I0033795,1,1
I0033796,1,1
I0033797,1,1
I0033798,1,1
I0033799,1,0
I0033800,1,1
I0033801,1,0
I0033802,1,0
I0033803,1,1
I0033804,1,0
I0033805,1,1
I0033806,1,1
I0033807,1,0
I0033808,1,1
I0033809,1,1
I0033810,1,0
I0033811,1,0
I0033812,1,1
I0033813,1,1
I0033814,1,1
I0033815,1,0
I0033816,1,1
I0033817,1,1
I0033818,1,1
I0033819,1,1
I0033820,1,0
I0033821,1,1
I0033822,1,0
I0033823,1,1
I0033824,1,1
I0033825,1,0
I0033826,1,0
I0033827,1,0
I0033828,1,0
I0033829,1,1
I0033830,1,0
I0033831,1,1
I0033832,1,0
I0033833,1,0
I0033834,1,1
I0033835,1,1
I0033836,1,1
I0033837,1,0
I0033838,1,1
I0033839,1,1
I0033840,1,0
I0033841,1,0
I0033842,1,1
I0033843,1,1
I0033844,1,0
I0033845,1,1
I0033846,1,0
I0033847,1,1
I0033848,1,1
I0033849,1,0
I0033850,1,1
I0033851,1,1
I0033852,1,1
I0033853,1,1
I0033854,1,1
I0033855,1,1
I0033856,1,1
I0033857,1,0
I0033858,1,1
I0033859,1,1
I0033860,1,1
I0033861,1,1
I0033862,1,1
I0033863,1,1
I0033864,1,0
I0033865,1,1
I0033866,1,0
I0033867,1,1
I0033868,1,1
I0033869,1,0
I0033870,1,1
I0033871,1,1
I0033872,1,0
I0033873,1,1
I0033874,1,1
I0033875,1,1
I0033876,1,1
I0033877,1,0
I0033878,1,1
I0033879,1,1
I0033880,1,1
I0033881,1,1
I0033882,1,1
I0033883,1,0
