sku,manage_stock,is_in_stock
I0055150,1,0
I0055151,1,0
I0055152,1,0
I0055153,1,0
I0055154,1,0
I0055155,1,0
I0055156,1,0
I0055157,1,0
I0055158,1,0
I0055159,1,0
I0055160,1,0
I0055161,1,0
I0055162,1,0
I0055163,1,0
I0055164,1,0
I0055165,1,0
I0055166,1,0
I0055167,1,0
I0055168,1,0
I0055169,1,0
I0055170,1,0
I0055171,1,0
I0055172,1,0
I0055173,1,0
I0055174,1,0
I0055175,1,0
I0055176,1,0
I0055177,1,0
I0055178,1,0
I0055179,1,0
I0055180,1,0
I0055181,1,0
I0055182,1,0
I0055183,1,1
I0055184,1,1
I0055185,1,1
I0055186,1,0
I0055187,1,0
I0055188,1,0
I0055189,1,0
I0055190,1,0
I0055191,1,0
I0055192,1,0
I0055193,1,0
I0055194,1,0
I0055195,1,0
I0055196,1,0
I0055197,1,0
I0055198,1,0
I0055199,1,0
I0055200,1,0
I0055201,1,0
I0055202,1,0
I0055203,1,0
I0055204,1,0
I0055205,1,0
I0055206,1,0
I0055207,1,0
I0055208,1,0
I0055209,1,1
I0055210,1,0
I0055211,1,0
I0055212,1,0
I0055213,1,0
I0055214,1,0
I0055215,1,0
I0055216,1,0
I0055217,1,0
I0055218,1,0
I0055219,1,0
I0055220,1,0
I0055221,1,0
I0055222,1,0
I0055223,1,0
I0055224,1,0
I0055225,1,0
I0055226,1,0
I0055227,1,0
I0055228,1,0
I0055229,1,0
I0055230,1,0
I0055231,1,0
I0055232,1,0
I0055233,1,0
I0055234,1,0
I0055235,1,0
I0055236,1,0
I0055237,1,0
I0055238,1,1
I0055239,1,0
I0055240,1,0
I0055241,1,0
I0055242,1,0
I0055243,1,0
I0055244,1,0
I0055245,1,0
I0055246,1,0
I0055247,1,0
I0055248,1,0
I0055249,1,0
I0055250,1,0
I0055251,1,0
I0055252,1,0
I0055253,1,0
I0055254,1,0
I0055255,1,1
I0055256,1,0
I0055257,1,0
I0055258,1,0
I0055259,1,0
I0055260,1,1
I0055261,1,0
I0055262,1,0
I0055263,1,0
I0055264,1,0
I0055265,1,0
I0055266,1,0
I0055267,1,1
I0055268,1,0
I0055269,1,0
I0055270,1,0
I0055271,1,0
I0055272,1,0
I0055273,1,0
I0055274,1,0
I0055275,1,0
I0055276,1,0
I0055277,1,0
I0055278,1,0
I0055279,1,0
I0055280,1,0
I0055281,1,0
I0055282,1,0
I0055283,1,0
I0055284,1,0
I0055285,1,0
I0055286,1,0
I0055287,1,0
I0055288,1,0
I0055289,1,0
I0055290,1,0
I0055291,1,0
I0055292,1,0
I0055293,1,0
I0055294,1,0
I0055295,1,0
I0055296,1,0
I0055297,1,0
I0055298,1,0
I0055299,1,0
I0055300,1,0
I0055301,1,0
I0055302,1,0
I0055303,1,0
I0055304,1,0
I0055305,1,0
I0055306,1,0
I0055307,1,0
I0055308,1,1
I0055309,1,0
I0055310,1,0
I0055311,1,0
I0055312,1,0
I0055313,1,0
I0055314,1,1
I0055315,1,0
I0055316,1,0
I0055317,1,0
I0055318,1,0
I0055319,1,0
I0055320,1,0
I0055321,1,0
I0055322,1,0
I0055323,1,0
I0055324,1,0
I0055325,1,0
I0055326,1,0
I0055327,1,0
I0055328,1,0
I0055329,1,0
I0055330,1,0
I0055331,1,0
I0055332,1,0
I0055333,1,0
I0055334,1,0
I0055335,1,0
I0055336,1,0
I0055337,1,0
I0055338,1,0
I0055339,1,0
I0055340,1,0
I0055341,1,0
I0055342,1,0
I0055343,1,0
I0055344,1,0
I0055345,1,0
I0055346,1,0
I0055347,1,0
I0055348,1,0
I0055349,1,0
I0055350,1,0
I0055351,1,0
I0055352,1,0
I0055353,1,0
I0055354,1,0
I0055355,1,0
I0055356,1,0
I0055357,1,0
I0055358,1,0
I0055359,1,0
I0055360,1,0
I0055361,1,0
I0055362,1,0
I0055363,1,0
I0055364,1,0
I0055365,1,0
I0055366,1,0
I0055367,1,0
I0055368,1,0
I0055369,1,0
I0055370,1,0
I0055371,1,0
I0055372,1,0
I0055373,1,0
I0055374,1,0
I0055375,1,0
I0055376,1,0
I0055377,1,0
I0055378,1,0
I0055379,1,0
I0055380,1,0
I0055381,1,0
I0055382,1,1
I0055383,1,1
I0055384,1,0
I0055385,1,0
I0055386,1,0
I0055387,1,0
I0055388,1,0
I0055389,1,0
I0055390,1,0
I0055391,1,0
I0055392,1,0
I0055393,1,0
I0055394,1,0
I0055395,1,0
I0055396,1,0
I0055397,1,0
I0055398,1,0
I0055399,1,0
I0055400,1,0
I0055401,1,0
I0055402,1,0
I0055403,1,0
I0055404,1,0
I0055405,1,0
