sku,manage_stock,is_in_stock
I0075151,1,0
I0075152,1,0
I0075153,1,0
I0075154,1,0
I0075155,1,0
I0075156,1,0
I0075157,1,0
I0075158,1,0
I0075159,1,0
I0075160,1,0
I0075161,1,0
I0075162,1,0
I0075163,1,0
I0075164,1,0
I0075165,1,0
I0075166,1,0
I0075167,1,0
I0075168,1,0
I0075169,1,0
I0075170,1,0
I0075171,1,0
I0075172,1,0
I0075173,1,0
I0075174,1,0
I0075175,1,0
I0075176,1,0
I0075177,1,0
I0075178,1,0
I0075179,1,0
I0075180,1,0
I0075181,1,0
I0075182,1,0
I0075183,1,0
I0075184,1,0
I0075185,1,0
I0075186,1,1
I0075187,1,0
I0075188,1,0
I0075189,1,0
I0075190,1,0
I0075191,1,0
I0075192,1,0
I0075193,1,0
I0075194,1,0
I0075195,1,0
I0075196,1,0
I0075197,1,0
I0075198,1,0
I0075199,1,0
I0075200,1,0
I0075201,1,0
I0075202,1,0
I0075203,1,0
I0075204,1,0
I0075205,1,0
I0075206,1,0
I0075207,1,0
I0075208,1,0
I0075209,1,0
I0075210,1,0
I0075211,1,0
I0075212,1,0
I0075213,1,0
I0075214,1,0
I0075215,1,0
I0075216,1,0
I0075217,1,0
I0075218,1,0
I0075219,1,0
I0075220,1,0
I0075221,1,0
I0075222,1,0
I0075223,1,0
I0075224,1,0
I0075225,1,0
I0075226,1,0
I0075227,1,0
I0075228,1,0
I0075229,1,0
I0075230,1,0
I0075231,1,0
I0075232,1,0
I0075233,1,0
I0075234,1,0
I0075235,1,0
I0075236,1,0
I0075237,1,0
I0075238,1,0
I0075239,1,0
I0075240,1,0
I0075241,1,0
I0075242,1,0
I0075243,1,0
I0075244,1,0
I0075245,1,0
I0075246,1,0
I0075247,1,0
I0075248,1,0
I0075249,1,0
I0075250,1,0
I0075251,1,0
I0075252,1,0
I0075253,1,0
I0075254,1,0
I0075255,1,0
I0075256,1,0
I0075257,1,0
I0075258,1,0
I0075259,1,0
I0075260,1,0
I0075261,1,0
I0075262,1,0
I0075263,1,0
I0075264,1,0
I0075265,1,0
I0075266,1,0
I0075267,1,0
I0075268,1,0
I0075269,1,0
I0075270,1,0
I0075271,1,0
I0075272,1,0
I0075273,1,0
I0075274,1,0
I0075275,1,0
I0075276,1,0
I0075277,1,0
I0075278,1,0
I0075279,1,0
I0075280,1,0
I0075281,1,0
I0075282,1,0
I0075283,1,0
I0075284,1,0
I0075285,1,0
I0075286,1,0
I0075287,1,0
I0075288,1,0
I0075289,1,0
I0075290,1,0
I0075291,1,0
I0075292,1,0
I0075293,1,0
I0075294,1,0
I0075295,1,0
I0075296,1,0
I0075297,1,0
I0075298,1,0
I0075299,1,0
I0075300,1,0
I0075301,1,0
I0075302,1,0
I0075303,1,0
I0075304,1,0
