sku,manage_stock,is_in_stock
I0000001,1,0
I0000002,1,1
I0000003,1,0
I0000004,1,0
I0000005,1,0
I0000006,1,1
I0000007,1,1
I0000008,1,0
I0000009,1,0
I0000010,1,0
I0000011,1,0
I0000012,1,0
I0000013,1,1
I0000014,1,0
I0000015,1,0
I0000016,1,0
I0000017,1,0
I0000018,1,0
I0000019,1,1
I0000020,1,1
I0000021,1,1
I0000022,1,1
I0000023,1,1
I0000024,1,1
I0000025,1,1
I0000026,1,1
I0000027,1,1
I0000028,1,1
I0000029,1,0
I0000030,1,0
I0000031,1,0
I0000032,1,0
I0000033,1,0
I0000034,1,0
I0000035,1,0
I0000036,1,0
I0000037,1,0
I0000038,1,0
I0000039,1,0
I0000040,1,0
I0000041,1,0
I0000042,1,0
I0000043,1,0
I0000044,1,0
I0000045,1,0
I0000046,1,0
I0000047,1,1
I0000048,1,0
I0000049,1,0
I0000050,1,0
I0000051,1,0
I0000052,1,0
I0000053,1,0
I0000054,1,0
I0000055,1,0
I0000056,1,1
I0000057,1,0
I0000058,1,1
I0000059,1,1
I0000060,1,0
I0000061,1,0
I0000062,1,0
I0000063,1,0
I0000064,1,0
I0000065,1,0
I0000066,1,0
I0000067,1,0
I0000068,1,1
I0000069,1,1
I0000070,1,0
I0000071,1,0
I0000072,1,0
I0000073,1,0
I0000074,1,0
I0000075,1,0
I0000076,1,0
I0000077,1,0
I0000078,1,0
I0000079,1,0
I0000080,1,0
I0000081,1,1
I0000082,1,0
I0000083,1,0
I0000084,1,0
I0000085,1,0
I0000086,1,0
I0000087,1,0
I0000088,1,0
I0000089,1,0
I0000090,1,0
I0000091,1,0
I0000092,1,0
I0000093,1,0
I0000094,1,0
I0000095,1,0
I0000096,1,0
I0000097,1,0
I0000098,1,0
I0000099,1,1
I0000100,1,0
I0000101,1,0
I0000102,1,0
I0000103,1,1
I0000104,1,0
I0000105,1,0
I0000106,1,0
I0000107,1,0
I0000108,1,0
I0000109,1,0
I0000110,1,0
I0000111,1,0
I0000112,1,0
I0000113,1,0
I0000114,1,1
I0000115,1,0
I0000116,1,0
I0000119,1,0
I0000120,1,0
I0000121,1,1
I0000122,1,0
I0000123,1,0
I0000124,1,0
I0000125,1,1
I0000126,1,0
I0000127,1,0
I0000128,1,1
I0000129,1,1
I0000130,1,0
I0000131,1,0
I0000132,1,0
I0000133,1,1
I0000134,1,0
I0000135,1,0
I0000136,1,0
I0000137,1,0
I0000138,1,1
I0000139,1,0
I0000140,1,0
I0000141,1,0
I0000142,1,0
I0000143,1,0
I0000144,1,0
I0000145,1,0
I0000146,1,0
I0000147,1,0
I0000148,1,0
I0000149,1,1
I0000150,1,0
I0000151,1,1
I0000152,1,1
I0000153,1,0
I0000154,1,1
I0000155,1,0
I0000156,1,0
I0000157,1,1
I0000158,1,1
I0000159,1,1
I0000160,1,1
I0000161,1,1
I0000162,1,1
I0000163,1,1
I0000164,1,0
I0000165,1,0
