sku,qty,is_in_stock,price
I0071415,0,0,20.01
I0071416,0,0,30.36
I0071417,0,0,18.98
I0071418,0,0,15.87
I0071419,0,0,20.7
I0071420,0,0,41.4
I0071421,0,0,47.61
I0071422,0,0,3.45
I0071423,0,0,4.14
I0071424,0,0,8.97
I0071425,0,0,4.83
I0071426,0,0,26.22
I0071427,0,0,24.84
I0071428,0,0,17.94
I0071429,0,0,13.11
I0071430,0,0,33.12
I0071431,0,0,81.42
I0071432,0,0,17.25
I0071433,0,0,7.59
I0071434,0,0,34.5
I0071435,0,0,23.46
I0071436,0,0,27.6
I0071437,0,0,8.28
I0071438,2,1,16.56
I0071439,0,0,46.23
I0071440,0,0,13.11
I0071441,0,0,48.3
I0071442,0,0,28.98
I0071443,0,0,52.44
I0071444,0,0,35.88
I0071445,0,0,37.26
I0071446,0,0,0.69
I0071447,0,0,0.69
I0071448,0,0,35.88
I0071449,0,0,38.64
I0071450,0,0,61.41
I0071451,0,0,60.03
I0071452,0,0,45.54
I0071453,0,0,1.38
I0071454,0,0,33.81
I0071455,0,0,40.02
I0071456,0,0,5.18
I0071457,0,0,40.71
I0071458,0,0,38.64
I0071459,0,0,61.41
I0071460,0,0,46.37
I0071461,0,0,2.76
I0071462,0,0,15.87
I0071463,0,0,23.46
I0071464,0,0,40.02
I0071465,0,0,22.43
I0071466,0,0,31.05
I0071467,0,0,99.36
I0071468,0,0,22.08
I0071469,0,0,53.82
I0071470,0,0,41.4
I0071471,0,0,28.29
I0071472,0,0,26.22
I0071473,0,0,24.15
I0071474,0,0,28.98
I0071475,0,0,37.26
I0071476,0,0,17.94
I0071477,0,0,9.66
I0071478,0,0,11.04
I0071479,0,0,37.26
I0071480,0,0,28.98
I0071481,0,0,27.6
I0071482,0,0,22.77
I0071483,0,0,23.46
I0071484,0,0,23.46
I0071485,0,0,24.84
I0071486,0,0,16.56
I0071487,0,0,32.09
I0071488,0,0,26.91
I0071489,0,0,53.82
I0071490,0,0,46.23
I0071491,0,0,6.9
I0071492,0,0,6.9
I0071493,0,0,6.9
I0071494,0,0,72.8
I0071495,0,0,22.77
I0071496,0,0,55.2
I0071497,0,0,24.15
I0071498,0,0,62.1
I0071499,0,0,41.4
I0071500,0,0,22.77
I0071501,0,0,53.82
I0071502,0,0,53.82
I0071503,0,0,53.82
I0071504,0,0,53.82
I0071505,0,0,19.32
I0071506,0,0,22.08
I0071507,0,0,22.08
I0071508,0,0,62.1
I0071509,0,0,73.14
I0071510,0,0,54.08
I0071511,0,0,12.08
I0071512,0,0,27.6
I0071513,0,0,19.86
I0071514,0,0,9.66
I0071515,0,0,37.95
I0071516,0,0,8.97
I0071517,0,0,15.18
I0071518,0,0,26.91
I0071519,0,0,20.7
I0071520,0,0,6.21
I0071521,0,0,40.71
I0071522,0,0,21.39
I0071523,0,0,29.67
I0071524,0,0,71.76
I0071525,0,0,51.06
I0071526,0,0,22.08
