sku,qty,is_in_stock,price
I0030481,88,1,6.9
I0030482,62,1,13.8
I0030483,92,1,14.49
I0030484,29,1,35.88
I0030485,134,1,52.44
I0030486,0,0,53.82
I0030487,1,1,28.98
I0030488,0,0,17.25
I0030489,135,1,37.95
I0030490,3,1,79.74
I0030491,2,1,33.12
I0030492,0,0,14.84
I0030493,0,0,22.08
I0030494,0,0,20.7
I0030495,0,0,20.7
I0030496,0,0,20.7
I0030497,0,0,28.98
I0030498,26,1,40.71
I0030499,0,0,6.9
I0030500,-1,0,12.77
I0030501,18,1,17.25
I0030502,42,1,24.15
I0030503,1025,1,33.81
I0030504,3,1,35.54
I0030505,0,0,19.32
I0030506,0,0,19.32
I0030507,9,1,21.39
I0030508,483,1,24.15
I0030509,0,0,13.8
I0030510,-35,0,49.68
I0030511,4,1,19.32
I0030512,1561,1,25.53
I0030513,-334,0,34.5
I0030514,2,1,32.43
I0030515,0,0,41.4
I0030516,2,1,31.74
I0030517,0,0,33.81
I0030518,-3,0,19.32
I0030519,-16,0,24.84
I0030520,190,1,33.12
I0030521,122,1,21.05
I0030522,9,1,23.46
I0030523,0,0,18.63
I0030524,0,0,22.77
I0030525,22,1,14.49
I0030526,41,1,18.29
I0030527,0,0,37.26
I0030528,0,0,16.56
I0030529,-5,0,35.19
I0030530,53,1,9.66
I0030531,2,1,24.15
I0030532,0,0,32.43
I0030533,3,1,37.26
I0030534,24,1,44.16
I0030535,106,1,38.64
I0030536,31,1,34.5
I0030537,-4,0,54.51
I0030538,144,1,41.4
I0030539,0,0,14.84
I0030540,0,0,48.3
I0030541,1,1,131.1
I0030542,8,1,179.4
I0030543,0,0,37.26
I0030544,50,1,53.82
I0030545,136,1,53.82
I0030546,52,1,40.02
I0030547,97,1,55.2
I0030548,41,1,11.04
I0030549,80,1,14.49
I0030550,0,0,35.88
I0030551,0,0,13.8
I0030552,1089,1,9.66
I0030553,1177,1,9.66
I0030554,48,1,13.8
I0030555,2,1,15.53
I0030556,0,0,13.11
I0030557,0,0,11.04
I0030558,-35,0,14.49
I0030559,174,1,13.8
I0030560,7,1,15.18
I0030561,0,0,7.59
I0030562,29,1,5.52
I0030563,5,1,6.9
I0030564,2,1,6.9
I0030565,12,1,7.59
I0030566,25,1,5.52
I0030567,0,0,9.66
I0030568,1,1,9.66
I0030569,0,0,9.66
I0030570,0,0,6.21
I0030571,0,0,10.01
I0030572,81,1,10.01
I0030573,4,1,24.15
I0030574,0,0,10.35
I0030575,0,0,110.4
