sku,manage_stock,is_in_stock
I0065151,1,0
I0065152,1,0
I0065153,1,0
I0065154,1,0
I0065155,1,0
I0065156,1,0
I0065157,1,0
I0065158,1,0
I0065159,1,0
I0065160,1,0
I0065161,1,0
I0065162,1,0
I0065163,1,0
I0065164,1,1
I0065165,1,0
I0065166,1,1
I0065167,1,1
I0065168,1,0
I0065169,1,0
I0065170,1,1
I0065171,1,0
I0065172,1,0
I0065173,1,0
I0065174,1,0
I0065175,1,0
I0065176,1,0
I0065177,1,0
I0065178,1,1
I0065179,1,0
I0065180,1,1
I0065181,1,0
I0065182,1,1
I0065183,1,0
I0065184,1,0
I0065185,1,0
I0065186,1,0
I0065187,1,0
I0065188,1,1
I0065189,1,0
I0065190,1,0
I0065191,1,0
I0065192,1,0
I0065193,1,0
I0065194,1,0
I0065195,1,1
I0065196,1,0
I0065197,1,0
I0065198,1,0
I0065199,1,0
I0065200,1,0
I0065201,1,0
I0065202,1,0
I0065203,1,0
I0065204,1,0
I0065205,1,0
I0065206,1,0
I0065207,1,0
I0065208,1,0
I0065209,1,0
I0065210,1,0
I0065211,1,0
I0065212,1,0
I0065213,1,0
I0065214,1,0
I0065215,1,0
I0065216,1,0
I0065217,1,0
I0065218,1,0
I0065219,1,0
I0065220,1,0
I0065221,1,0
I0065222,1,0
I0065223,1,0
I0065224,1,0
I0065225,1,0
I0065226,1,1
I0065227,1,0
I0065228,1,0
I0065229,1,1
I0065230,1,0
I0065231,1,0
I0065232,1,0
I0065233,1,0
I0065234,1,0
I0065235,1,0
I0065236,1,0
I0065237,1,0
I0065238,1,0
I0065239,1,0
I0065240,1,0
I0065241,1,0
I0065242,1,0
I0065243,1,0
I0065244,1,0
I0065245,1,0
I0065246,1,0
I0065247,1,0
I0065248,1,0
I0065249,1,0
I0065250,1,0
I0065251,1,0
I0065252,1,0
I0065253,1,0
I0065254,1,0
I0065255,1,0
I0065256,1,0
I0065257,1,0
I0065258,1,0
I0065259,1,0
I0065260,1,0
I0065261,1,0
I0065262,1,0
I0065263,1,0
I0065264,1,0
I0065265,1,0
I0065266,1,0
I0065267,1,0
I0065268,1,0
I0065269,1,0
I0065270,1,0
I0065271,1,0
I0065272,1,0
I0065273,1,0
I0065274,1,0
I0065275,1,0
I0065276,1,0
I0065277,1,0
I0065278,1,0
I0065279,1,0
I0065280,1,0
