sku,manage_stock,is_in_stock
I0006555,1,0
I0006556,1,1
I0006557,1,1
I0006558,1,1
I0006559,1,0
I0006560,1,1
I0006561,1,1
I0006562,1,0
I0006563,1,1
I0006564,1,1
I0006565,1,1
I0006566,1,1
I0006567,1,1
I0006568,1,1
I0006569,1,1
I0006570,1,1
I0006571,1,1
I0006572,1,1
I0006573,1,1
I0006574,1,1
I0006575,1,1
I0006576,1,1
I0006577,1,0
I0006578,1,1
I0006579,1,1
I0006580,1,1
I0006581,1,1
I0006582,1,1
I0006583,1,1
I0006584,1,0
I0006585,1,0
I0006586,1,0
I0006587,1,0
I0006588,1,1
I0006589,1,1
I0006590,1,1
I0006591,1,0
I0006592,1,0
I0006593,1,1
I0006594,1,1
I0006595,1,1
I0006596,1,0
I0006597,1,0
I0006598,1,0
I0006599,1,0
I0006600,1,0
I0006601,1,1
I0006602,1,0
I0006603,1,0
I0006604,1,0
I0006605,1,0
I0006606,1,1
I0006607,1,1
I0006608,1,1
I0006609,1,0
I0006610,1,0
I0006611,1,0
I0006612,1,0
I0006613,1,1
I0006614,1,1
I0006615,1,0
I0006616,1,1
I0006617,1,1
I0006618,1,1
I0006619,1,1
I0006620,1,1
I0006621,1,1
I0006622,1,1
I0006623,1,1
I0006624,1,1
I0006625,1,1
I0006626,1,1
I0006627,1,1
I0006628,1,1
I0006629,1,1
I0006630,1,0
I0006631,1,0
I0006632,1,1
I0006633,1,1
I0006634,1,1
I0006635,1,0
I0006636,1,0
I0006637,1,1
I0006638,1,1
I0006639,1,1
I0006640,1,1
I0006641,1,1
I0006642,1,0
I0006643,1,1
I0006644,1,1
I0006645,1,1
I0006646,1,0
I0006647,1,1
I0006648,1,0
I0006649,1,0
I0006650,1,0
I0006651,1,1
I0006652,1,0
I0006653,1,1
I0006654,1,1
I0006655,1,0
I0006656,1,0
I0006657,1,1
I0006658,1,1
I0006659,1,0
I0006660,1,1
I0006661,1,1
I0006662,1,1
I0006663,1,1
I0006664,1,1
I0006665,1,1
I0006666,1,1
I0006667,1,1
I0006668,1,1
I0006669,1,0
I0006670,1,0
I0006671,1,1
I0006672,1,1
I0006673,1,1
I0006674,1,1
I0006675,1,1
I0006676,1,1
I0006677,1,0
I0006678,1,1
I0006679,1,0
I0006680,1,1
I0006681,1,1
I0006682,1,1
I0006683,1,0
I0006684,1,0
I0006685,1,0
I0006686,1,0
I0006687,1,0
I0006688,1,0
I0006689,1,0
I0006690,1,0
I0006691,1,0
I0006692,1,0
I0006693,1,0
I0006694,1,0
I0006695,1,1
I0006696,1,1
I0006697,1,1
I0006698,1,1
I0006699,1,1
I0006700,1,1
I0006701,1,0
I0006702,1,0
I0006703,1,1
I0006704,1,1
I0006705,1,1
I0006706,1,1
I0006707,1,1
I0006708,1,1
I0006709,1,1
I0006710,1,1
I0006711,1,1
I0006712,1,0
I0006713,1,1
I0006714,1,0
I0006715,1,1
I0006716,1,0
I0006717,1,0
I0006718,1,1
I0006719,1,0
I0006720,1,0
I0006721,1,0
I0006722,1,1
I0006723,1,1
I0006724,1,1
I0006725,1,1
I0006726,1,0
I0006727,1,0
I0006728,1,1
I0006729,1,1
I0006730,1,1
I0006731,1,0
I0006732,1,1
I0006733,1,0
I0006734,1,1
I0006735,1,1
I0006736,1,0
I0006737,1,1
I0006738,1,0
I0006739,1,0
I0006740,1,0
I0006741,1,1
I0006742,1,0
I0006743,1,0
I0006744,1,1
I0006745,1,0
I0006746,1,0
I0006747,1,1
I0006748,1,0
I0006749,1,1
I0006750,1,0
I0006751,1,1
I0006752,1,1
I0006753,1,1
I0006754,1,1
I0006755,1,0
I0006756,1,1
I0006757,1,1
I0006758,1,1
I0006759,1,1
I0006760,1,1
I0006761,1,0
I0006762,1,0
I0006763,1,1
I0006764,1,0
I0006765,1,0
I0006766,1,0
I0006767,1,0
I0006768,1,0
I0006769,1,0
I0006770,1,0
I0006771,1,0
I0006772,1,0
I0006773,1,0
I0006774,1,0
I0006775,1,0
I0006776,1,0
I0006777,1,0
I0006778,1,0
I0006779,1,0
I0006780,1,0
I0006781,1,0
I0006782,1,0
I0006783,1,1
I0006784,1,1
I0006785,1,1
I0006786,1,1
I0006787,1,1
I0006788,1,1
I0006789,1,0
I0006790,1,0
I0006791,1,1
I0006792,1,1
I0006793,1,0
I0006794,1,1
I0006795,1,1
I0006796,1,1
I0006797,1,1
I0006798,1,1
I0006799,1,1
I0006800,1,1
I0006801,1,1
I0006802,1,1
I0006803,1,0
I0006804,1,1
I0006805,1,0
I0006806,1,1
I0006807,1,1
I0006808,1,1
I0006809,1,1
I0006810,1,1
I0006811,1,0
I0006812,1,1
I0006813,1,1
I0006814,1,1
I0006815,1,1
I0006816,1,0
I0006817,1,1
I0006818,1,1
I0006819,1,1
I0006820,1,1
I0006821,1,1
I0006822,1,1
I0006823,1,1
I0006824,1,1
I0006825,1,0
I0006826,1,1
I0006827,1,1
I0006828,1,0
I0006829,1,1
I0006830,1,0
I0006831,1,1
I0006832,1,1
I0006833,1,1
I0006834,1,1
I0006835,1,0
I0006836,1,1
I0006837,1,1
I0006838,1,1
I0006839,1,1
I0006840,1,1
I0006841,1,1
I0006842,1,1
I0006843,1,1
I0006844,1,0
I0006845,1,1
I0006846,1,1
I0006847,1,1
I0006848,1,0
I0006849,1,1
I0006850,1,1
I0006851,1,0
I0006852,1,0
I0006853,1,0
I0006854,1,1
I0006855,1,1
I0006856,1,1
I0006857,1,0
I0006858,1,1
I0006859,1,1
I0006860,1,1
I0006861,1,1
I0006862,1,1
I0006863,1,1
I0006864,1,0
I0006865,1,0
I0006866,1,0
I0006867,1,1
I0006868,1,1
I0006869,1,1
I0006870,1,0
I0006871,1,1
I0006872,1,1
I0006873,1,1
I0006874,1,0
I0006875,1,0
I0006876,1,1
I0006877,1,1
I0006878,1,1
I0006879,1,1
I0006880,1,1
I0006881,1,1
I0006882,1,0
I0006883,1,1
I0006884,1,0
I0006885,1,0
I0006886,1,1
I0006887,1,0
I0006888,1,0
I0006889,1,0
I0006890,1,1
I0006891,1,0
I0006892,1,0
I0006893,1,1
I0006894,1,0
I0006895,1,1
I0006896,1,0
I0006897,1,0
I0006898,1,1
I0006899,1,0
I0006900,1,0
I0006901,1,1
I0006902,1,1
I0006903,1,0
I0006904,1,1
I0006905,1,0
I0006906,1,1
I0006907,1,1
I0006908,1,1
I0006909,1,1
I0006910,1,0
I0006911,1,1
I0006912,1,0
I0006913,1,0
I0006914,1,0
I0006915,1,0
I0006916,1,0
I0006917,1,0
I0006918,1,0
I0006919,1,0
I0006920,1,0
I0006921,1,0
I0006922,1,0
I0006923,1,0
I0006924,1,0
I0006925,1,0
I0006926,1,0
I0006927,1,0
I0006928,1,0
I0006929,1,1
I0006930,1,1
I0006931,1,1
I0006932,1,1
I0006933,1,1
I0006934,1,1
I0006935,1,1
I0006936,1,1
I0006937,1,1
I0006938,1,1
I0006939,1,1
I0006940,1,1
I0006941,1,1
I0006942,1,0
I0006943,1,1
I0006944,1,1
I0006945,1,0
I0006946,1,1
I0006947,1,1
I0006948,1,0
I0006949,1,0
I0006950,1,0
I0006951,1,1
I0006952,1,0
I0006953,1,0
I0006954,1,1
I0006955,1,1
I0006956,1,1
I0006957,1,1
I0006958,1,0
I0006959,1,0
I0006960,1,0
I0006961,1,1
I0006962,1,1
I0006963,1,0
I0006964,1,0
I0006965,1,0
I0006966,1,0
I0006967,1,1
I0006968,1,0
I0006969,1,0
I0006970,1,1
I0006971,1,1
I0006972,1,1
I0006973,1,0
I0006974,1,0
I0006975,1,0
I0006976,1,0
I0006977,1,0
I0006978,1,1
I0006979,1,0
I0006980,1,1
I0006981,1,0
I0006982,1,0
I0006983,1,1
I0006984,1,1
I0006985,1,1
I0006986,1,1
I0006987,1,1
I0006988,1,1
I0006989,1,1
I0006990,1,1
I0006991,1,1
I0006992,1,1
I0006993,1,1
I0006994,1,1
I0006995,1,1
I0006996,1,1
I0006997,1,1
I0006998,1,1
I0006999,1,1
I0007000,1,1
I0007001,1,1
I0007002,1,1
I0007003,1,1
I0007004,1,1
I0007005,1,1
I0007006,1,1
I0007007,1,1
I0007008,1,0
I0007009,1,1
I0007010,1,1
I0007011,1,1
I0007012,1,1
I0007013,1,1
I0007014,1,1
I0007015,1,1
I0007016,1,1
I0007017,1,1
I0007018,1,1
I0007019,1,1
I0007020,1,0
I0007021,1,1
I0007022,1,1
I0007023,1,1
I0007024,1,1
I0007025,1,1
I0007026,1,1
I0007027,1,0
I0007028,1,0
I0007029,1,1
I0007030,1,1
I0007031,1,0
I0007032,1,0
I0007033,1,1
I0007034,1,0
I0007035,1,1
I0007036,1,0
I0007037,1,0
I0007038,1,1
I0007039,1,0
I0007040,1,1
I0007041,1,0
I0007042,1,0
I0007043,1,0
I0007044,1,0
I0007045,1,1
I0007046,1,0
I0007047,1,1
I0007048,1,1
I0007049,1,0
I0007050,1,1
I0007051,1,1
I0007052,1,0
I0007053,1,0
I0007054,1,0
I0007055,1,1
I0007056,1,1
I0007057,1,1
I0007058,1,1
I0007059,1,1
I0007060,1,1
I0007061,1,1
I0007062,1,0
I0007063,1,1
I0007064,1,1
I0007065,1,0
I0007066,1,1
I0007067,1,1
I0007068,1,1
I0007069,1,1
I0007070,1,1
I0007071,1,0
I0007072,1,0
I0007073,1,1
I0007074,1,1
I0007075,1,0
I0007076,1,0
I0007077,1,1
I0007078,1,1
I0007079,1,1
I0007080,1,1
I0007081,1,1
I0007082,1,1
I0007083,1,1
I0007084,1,1
I0007085,1,1
I0007086,1,1
I0007087,1,0
I0007088,1,1
I0007089,1,1
I0007090,1,1
I0007091,1,1
I0007092,1,1
I0007093,1,1
