sku,manage_stock,is_in_stock
I0070151,1,0
I0070152,1,0
I0070153,1,0
I0070154,1,0
I0070155,1,0
I0070156,1,0
I0070157,1,0
I0070158,1,0
I0070159,1,0
I0070160,1,0
I0070161,1,0
I0070162,1,0
I0070163,1,0
I0070164,1,0
I0070165,1,0
I0070166,1,0
I0070167,1,0
I0070168,1,0
I0070169,1,0
I0070170,1,0
I0070171,1,0
I0070172,1,0
I0070173,1,0
I0070174,1,0
I0070175,1,0
I0070176,1,0
I0070177,1,0
I0070178,1,0
I0070179,1,0
I0070180,1,0
I0070181,1,0
I0070182,1,0
I0070183,1,0
I0070184,1,0
I0070185,1,0
I0070186,1,0
I0070187,1,0
I0070188,1,0
I0070189,1,0
I0070190,1,0
I0070191,1,0
I0070192,1,0
I0070193,1,0
I0070194,1,0
I0070195,1,0
I0070196,1,0
I0070197,1,0
I0070198,1,0
I0070199,1,0
I0070200,1,0
I0070201,1,0
I0070202,1,0
I0070203,1,0
I0070204,1,0
I0070205,1,0
I0070206,1,0
I0070207,1,0
I0070208,1,0
I0070209,1,0
I0070210,1,0
I0070211,1,0
I0070212,1,0
I0070213,1,0
I0070214,1,0
I0070215,1,0
I0070216,1,0
I0070217,1,0
I0070218,1,0
I0070219,1,0
I0070220,1,0
I0070221,1,0
I0070222,1,0
I0070223,1,0
I0070224,1,0
I0070225,1,0
I0070226,1,0
I0070227,1,0
I0070228,1,0
I0070229,1,0
I0070230,1,0
I0070231,1,0
I0070232,1,0
I0070233,1,0
I0070234,1,0
I0070235,1,0
I0070236,1,0
I0070237,1,0
I0070238,1,0
I0070239,1,0
I0070240,1,0
I0070241,1,0
I0070242,1,0
I0070243,1,0
I0070244,1,0
I0070245,1,0
I0070246,1,0
I0070247,1,0
I0070248,1,0
I0070249,1,0
I0070250,1,0
I0070251,1,0
I0070252,1,0
I0070253,1,0
I0070254,1,0
I0070255,1,0
I0070256,1,0
I0070257,1,0
I0070258,1,0
I0070259,1,0
I0070260,1,0
I0070261,1,0
I0070262,1,0
I0070263,1,0
I0070264,1,0
I0070265,1,0
I0070266,1,0
I0070267,1,0
I0070268,1,0
I0070269,1,0
I0070270,1,0
I0070271,1,0
I0070272,1,0
I0070273,1,0
I0070274,1,0
I0070275,1,0
I0070276,1,0
I0070277,1,0
I0070278,1,0
I0070279,1,0
I0070280,1,0
I0070281,1,0
I0070282,1,0
I0070283,1,0
I0070284,1,0
I0070285,1,0
I0070286,1,0
I0070287,1,0
I0070288,1,0
I0070289,1,0
I0070290,1,0
I0070291,1,0
I0070292,1,0
I0070293,1,0
I0070294,1,0
I0070295,1,0
I0070296,1,0
I0070297,1,0
I0070298,1,0
I0070299,1,0
I0070300,1,0
I0070301,1,0
I0070302,1,0
I0070303,1,0
I0070304,1,0
I0070305,1,0
I0070306,1,0
I0070307,1,0
I0070308,1,0
I0070309,1,0
I0070310,1,0
I0070311,1,0
I0070312,1,0
I0070313,1,0
I0070314,1,0
I0070315,1,0
I0070316,1,0
I0070317,1,0
I0070318,1,0
I0070319,1,0
I0070320,1,0
I0070321,1,0
I0070322,1,0
I0070323,1,0
I0070324,1,0
I0070325,1,0
I0070326,1,0
I0070327,1,1
I0070328,1,0
I0070329,1,0
I0070330,1,0
I0070331,1,0
I0070332,1,0
I0070333,1,0
I0070334,1,0
I0070335,1,0
I0070336,1,0
I0070337,1,0
I0070338,1,0
I0070339,1,0
I0070340,1,0
I0070341,1,0
I0070342,1,0
I0070343,1,0
I0070344,1,0
I0070345,1,0
I0070346,1,0
I0070347,1,0
I0070348,1,0
I0070349,1,0
I0070350,1,0
I0070351,1,0
I0070352,1,0
I0070353,1,0
I0070354,1,0
I0070355,1,0
I0070356,1,0
I0070357,1,0
I0070358,1,0
I0070359,1,0
I0070360,1,0
I0070361,1,0
I0070362,1,0
I0070363,1,0
I0070364,1,0
I0070365,1,0
I0070366,1,0
I0070367,1,0
I0070368,1,0
I0070369,1,0
I0070370,1,0
I0070371,1,0
I0070372,1,0
I0070373,1,0
I0070374,1,0
I0070375,1,0
I0070376,1,0
I0070377,1,0
I0070378,1,0
I0070379,1,0
I0070380,1,0
I0070381,1,0
I0070382,1,0
I0070383,1,0
I0070384,1,0
I0070385,1,0
I0070386,1,0
I0070387,1,0
I0070388,1,0
I0070389,1,0
I0070390,1,0
I0070391,1,0
I0070392,1,0
I0070393,1,0
I0070394,1,0
I0070395,1,0
I0070396,1,0
I0070397,1,0
I0070398,1,0
I0070399,1,0
I0070400,1,0
I0070401,1,0
I0070402,1,0
I0070403,1,0
I0070404,1,0
I0070405,1,0
I0070406,1,0
I0070407,1,0
I0070408,1,0
I0070409,1,0
I0070410,1,0
I0070411,1,0
I0070412,1,0
I0070413,1,0
I0070414,1,0
I0070415,1,0
I0070416,1,0
I0070417,1,0
I0070418,1,0
I0070419,1,0
I0070420,1,0
I0070421,1,0
I0070422,1,0
I0070423,1,0
I0070424,1,0
I0070425,1,0
I0070426,1,0
I0070427,1,0
I0070428,1,0
I0070429,1,0
I0070430,1,0
I0070431,1,0
I0070432,1,0
I0070433,1,0
I0070434,1,0
I0070435,1,0
I0070436,1,0
I0070437,1,0
I0070438,1,0
I0070439,1,0
I0070440,1,0
I0070441,1,0
I0070442,1,0
I0070443,1,0
I0070444,1,0
I0070445,1,0
I0070446,1,0
I0070447,1,0
I0070448,1,0
I0070449,1,1
I0070450,1,0
I0070451,1,0
I0070452,1,0
I0070453,1,0
I0070454,1,0
I0070455,1,0
I0070456,1,0
I0070457,1,0
I0070458,1,0
