sku,manage_stock,is_in_stock
I0026925,1,1
I0026926,1,0
I0026927,1,0
I0026928,1,0
I0026929,1,1
I0026930,1,0
I0026931,1,0
I0026932,1,1
I0026933,1,1
I0026934,1,1
I0026935,1,1
I0026936,1,0
I0026937,1,1
I0026938,1,0
I0026939,1,0
I0026940,1,0
I0026941,1,1
I0026942,1,0
I0026943,1,1
I0026944,1,1
I0026945,1,1
I0026946,1,1
I0026947,1,0
I0026948,1,0
I0026949,1,1
I0026950,1,0
I0026951,1,1
I0026952,1,1
I0026953,1,1
I0026954,1,1
I0026955,1,0
I0026956,1,0
I0026957,1,0
I0026958,1,0
I0026959,1,1
I0026960,1,1
I0026961,1,0
I0026962,1,0
I0026963,1,0
I0026964,1,1
I0026965,1,1
I0026966,1,1
I0026967,1,0
I0026968,1,1
I0026969,1,1
I0026970,1,1
I0026971,1,0
I0026972,1,0
I0026973,1,1
I0026974,1,0
I0026975,1,1
I0026976,1,1
I0026977,1,1
I0026978,1,1
I0026979,1,0
I0026980,1,1
I0026981,1,0
I0026982,1,0
I0026983,1,1
I0026984,1,1
I0026985,1,1
I0026986,1,1
I0026987,1,0
I0026988,1,0
I0026989,1,0
I0026990,1,1
I0026991,1,0
I0026992,1,0
I0026993,1,1
I0026994,1,0
I0026995,1,0
I0026996,1,1
I0026997,1,1
I0026998,1,1
I0026999,1,0
I0027000,1,0
I0027001,1,1
I0027002,1,1
I0027003,1,1
I0027004,1,1
I0027005,1,1
I0027006,1,1
I0027007,1,1
I0027008,1,1
I0027009,1,0
I0027010,1,1
I0027011,1,1
I0027012,1,1
I0027013,1,0
I0027014,1,0
I0027015,1,1
I0027016,1,1
I0027017,1,1
I0027018,1,1
I0027019,1,1
I0027020,1,0
I0027021,1,1
I0027022,1,0
I0027023,1,0
I0027024,1,1
I0027025,1,0
I0027026,1,0
I0027027,1,0
I0027028,1,0
I0027029,1,1
I0027030,1,1
I0027031,1,1
I0027032,1,0
I0027033,1,1
I0027034,1,0
I0027035,1,1
I0027036,1,1
I0027037,1,0
I0027038,1,0
I0027039,1,1
I0027040,1,0
I0027041,1,1
I0027042,1,1
I0027043,1,0
I0027044,1,0
I0027045,1,0
I0027046,1,0
I0027047,1,0
I0027048,1,0
I0027049,1,1
I0027050,1,0
I0027051,1,1
I0027052,1,1
I0027053,1,1
I0027054,1,0
I0027055,1,1
I0027056,1,1
I0027057,1,1
I0027058,1,1
I0027059,1,0
I0027060,1,1
I0027061,1,0
I0027062,1,1
I0027063,1,0
I0027064,1,1
I0027065,1,1
I0027066,1,1
I0027067,1,1
I0027068,1,1
I0027069,1,1
I0027070,1,0
I0027071,1,0
I0027072,1,0
I0027073,1,1
I0027074,1,1
I0027075,1,1
I0027076,1,1
I0027077,1,1
I0027078,1,0
I0027079,1,0
I0027080,1,0
I0027081,1,0
I0027082,1,0
I0027083,1,0
I0027084,1,0
I0027085,1,1
I0027086,1,1
I0027087,1,0
