sku,qty,is_in_stock,price
I0005005,0,1,12.77
I0005006,3,0,13.66
I0005007,0,1,4.49
I0005008,0,1,14.84
I0005009,3,0,41.4
I0005010,0,1,12.77
I0005011,0,1,30.36
I0005012,0,1,14.15
I0005013,0,1,7.94
I0005014,0,1,12.08
I0005015,0,1,10.7
I0005016,0,1,7.94
I0005017,0,1,7.94
I0005018,0,1,12.08
I0005019,0,1,25.88
I0005020,0,1,17.6
I0005021,0,1,14.15
I0005022,0,1,14.15
I0005023,0,1,13.46
I0005024,0,1,10.7
I0005025,0,1,12.08
I0005026,0,1,16.91
I0005027,0,1,23.81
I0005028,0,1,26.57
I0005029,0,1,10.01
I0005030,0,1,91.08
I0005031,0,1,12.77
I0005032,5,0,34.5
I0005033,16,0,21.39
I0005034,0,1,12.08
I0005035,0,1,13.46
I0005036,0,1,17.6
I0005037,0,1,12.77
I0005038,0,1,60.72
I0005039,0,1,9.32
I0005040,0,1,36.23
I0005041,1,0,10.01
I0005042,0,1,5.52
I0005043,0,1,27.6
I0005044,0,1,52.44
I0005045,0,1,23.81
I0005046,0,1,26.57
I0005047,0,1,39.68
I0005048,0,1,12.77
I0005049,0,1,34.5
I0005050,-4,1,60.72
I0005051,0,1,5.87
I0005052,0,1,23.81
I0005053,0,1,10.01
I0005054,0,1,10.01
I0005055,0,1,36.23
I0005056,0,1,10.01
I0005057,0,1,11.39
I0005058,0,1,20.36
I0005059,12,0,60.72
I0005060,0,1,13.46
I0005061,0,1,7.94
I0005062,0,1,12.08
I0005063,3,0,41.4
I0005064,0,1,14.15
I0005065,0,1,60.72
I0005066,1,0,20.7
I0005067,0,1,6.9
I0005068,4,0,6.9
I0005069,0,1,10.7
I0005070,0,1,28.64
I0005071,0,1,12.77
I0005072,0,1,17.6
I0005073,0,1,5.87
I0005074,1,0,49.68
I0005075,0,1,12.08
I0005076,0,1,13.46
I0005077,0,1,13.46
I0005078,0,1,10.7
I0005079,0,1,7.94
I0005080,0,1,7.94
I0005081,0,1,27.26
I0005082,0,1,12.77
I0005083,0,1,11.39
I0005084,0,1,14.15
I0005085,0,1,10.7
I0005086,0,1,14.84
I0005087,0,1,23.81
I0005088,0,1,26.57
I0005089,0,1,39.68
I0005090,0,1,11.39
I0005091,0,1,12.08
I0005092,0,1,17.6
I0005093,0,1,20.36
I0005094,0,1,26.57
I0005095,0,1,10.7
I0005096,0,1,26.57
I0005097,0,1,17.6
I0005098,0,1,12.77
I0005099,4,0,60.72
I0005100,0,1,13.46
I0005101,0,1,26.57
I0005102,0,1,12.08
I0005103,0,1,17.6
I0005104,1,0,13.66
I0005105,0,1,9.32
I0005106,1,0,35.88
I0005107,12,0,21.39
I0005108,35,0,7.94
I0005109,14,0,7.94
I0005110,8,0,8.97
I0005111,12,0,117.3
I0005112,0,1,34.5
I0005113,6,0,28.98
I0005114,23,0,35.88
I0005115,2,0,28.98
I0005116,8,0,35.88
I0005117,6,0,28.98
I0005118,0,1,6.9
I0005119,0,1,27.6
I0005120,0,1,9.32
I0005121,0,1,0.83
I0005122,1,0,3.45
I0005123,0,1,5.23
I0005124,0,1,2.9
I0005125,0,1,4.83
I0005126,0,1,36.97
I0005127,0,1,2.75
I0005128,2,0,2.15
I0005129,378,0,3.38
I0005130,8,0,26.91
I0005131,0,1,30.36
I0005132,0,1,28.15
I0005133,0,1,5.52
I0005134,1,0,17.94
I0005135,-1,1,9.32
I0005136,1,0,9.32
I0005137,5,0,9.32
I0005138,20,0,2.48
I0005139,-14,1,2.48
I0005140,866,0,7.94
I0005141,80,0,4.69
I0005142,70,0,12.42
I0005143,0,1,6.83
I0005144,0,1,51.06
I0005145,0,1,2.97
I0005146,0,1,34.5
I0005147,0,1,34.5
