sku,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label
I0042960,images/I0042960.jpg,I0042960,images/I0042960.jpg,I0042960,images/I0042960.jpg,I0042960
I0042961,images/I0042961.jpg,I0042961,images/I0042961.jpg,I0042961,images/I0042961.jpg,I0042961
I0042962,images/I0042962.jpg,I0042962,images/I0042962.jpg,I0042962,images/I0042962.jpg,I0042962
I0042963,images/I0042963.jpg,I0042963,images/I0042963.jpg,I0042963,images/I0042963.jpg,I0042963
I0042964,images/I0042964.jpg,I0042964,images/I0042964.jpg,I0042964,images/I0042964.jpg,I0042964
I0042965,images/I0042965.jpg,I0042965,images/I0042965.jpg,I0042965,images/I0042965.jpg,I0042965
I0042966,images/I0042966.jpg,I0042966,images/I0042966.jpg,I0042966,images/I0042966.jpg,I0042966
I0042967,images/I0042967.jpg,I0042967,images/I0042967.jpg,I0042967,images/I0042967.jpg,I0042967
I0042968,images/I0042968.jpg,I0042968,images/I0042968.jpg,I0042968,images/I0042968.jpg,I0042968
I0042969,images/I0042969.jpg,I0042969,images/I0042969.jpg,I0042969,images/I0042969.jpg,I0042969
I0042970,images/I0042970.jpg,I0042970,images/I0042970.jpg,I0042970,images/I0042970.jpg,I0042970
I0042971,images/I0042971.jpg,I0042971,images/I0042971.jpg,I0042971,images/I0042971.jpg,I0042971
I0042972,images/I0042972.jpg,I0042972,images/I0042972.jpg,I0042972,images/I0042972.jpg,I0042972
I0042973,images/I0042973.jpg,I0042973,images/I0042973.jpg,I0042973,images/I0042973.jpg,I0042973
I0042974,images/I0042974.jpg,I0042974,images/I0042974.jpg,I0042974,images/I0042974.jpg,I0042974
I0042975,images/I0042975.jpg,I0042975,images/I0042975.jpg,I0042975,images/I0042975.jpg,I0042975
I0042976,images/I0042976.jpg,I0042976,images/I0042976.jpg,I0042976,images/I0042976.jpg,I0042976
I0042977,images/I0042977.jpg,I0042977,images/I0042977.jpg,I0042977,images/I0042977.jpg,I0042977
I0042978,images/I0042978.jpg,I0042978,images/I0042978.jpg,I0042978,images/I0042978.jpg,I0042978
I0042979,images/I0042979.jpg,I0042979,images/I0042979.jpg,I0042979,images/I0042979.jpg,I0042979
I0042980,images/I0042980.jpg,I0042980,images/I0042980.jpg,I0042980,images/I0042980.jpg,I0042980
I0042981,images/I0042981.jpg,I0042981,images/I0042981.jpg,I0042981,images/I0042981.jpg,I0042981
I0042982,images/I0042982.jpg,I0042982,images/I0042982.jpg,I0042982,images/I0042982.jpg,I0042982
I0042983,images/I0042983.jpg,I0042983,images/I0042983.jpg,I0042983,images/I0042983.jpg,I0042983
I0042984,images/I0042984.jpg,I0042984,images/I0042984.jpg,I0042984,images/I0042984.jpg,I0042984
I0042987,images/I0042987.jpg,I0042987,images/I0042987.jpg,I0042987,images/I0042987.jpg,I0042987
I0042989,images/I0042989.jpg,I0042989,images/I0042989.jpg,I0042989,images/I0042989.jpg,I0042989
I0042990,images/I0042990.jpg,I0042990,images/I0042990.jpg,I0042990,images/I0042990.jpg,I0042990
I0042992,images/I0042992.jpg,I0042992,images/I0042992.jpg,I0042992,images/I0042992.jpg,I0042992
I0042993,images/I0042993.jpg,I0042993,images/I0042993.jpg,I0042993,images/I0042993.jpg,I0042993
I0042994,images/I0042994.jpg,I0042994,images/I0042994.jpg,I0042994,images/I0042994.jpg,I0042994
I0042995,images/I0042995.jpg,I0042995,images/I0042995.jpg,I0042995,images/I0042995.jpg,I0042995
I0042996,images/I0042996.jpg,I0042996,images/I0042996.jpg,I0042996,images/I0042996.jpg,I0042996
I0042997,images/I0042997.jpg,I0042997,images/I0042997.jpg,I0042997,images/I0042997.jpg,I0042997
I0042998,images/I0042998.jpg,I0042998,images/I0042998.jpg,I0042998,images/I0042998.jpg,I0042998
I0043000,images/I0043000.jpg,I0043000,images/I0043000.jpg,I0043000,images/I0043000.jpg,I0043000
I0043001,images/I0043001.jpg,I0043001,images/I0043001.jpg,I0043001,images/I0043001.jpg,I0043001
I0043002,images/I0043002.jpg,I0043002,images/I0043002.jpg,I0043002,images/I0043002.jpg,I0043002
I0043003,images/I0043003.jpg,I0043003,images/I0043003.jpg,I0043003,images/I0043003.jpg,I0043003
I0043004,images/I0043004.jpg,I0043004,images/I0043004.jpg,I0043004,images/I0043004.jpg,I0043004
