sku,qty,is_in_stock,price
I0050948,0,0,7.59
I0050949,0,0,13.77
I0050950,1,1,5.87
I0050951,0,0,11.7
I0050952,0,0,13.46
I0050953,0,0,13.46
I0050954,0,0,10.32
I0050955,0,0,11.7
I0050956,0,0,13.77
I0050957,0,0,13.08
I0050958,0,0,10.7
I0050959,0,0,35.16
I0050960,0,0,38.99
I0050961,0,0,43.47
I0050962,0,0,29.26
I0050963,0,0,41.37
I0050964,0,0,30.8
I0050965,0,0,29.26
I0050966,0,0,28.15
I0050967,0,0,28.98
I0050968,0,0,26.91
I0050969,0,0,38.61
I0050970,0,0,37.23
I0050971,0,0,38.3
I0050972,0,0,28.64
I0050973,0,0,38.61
I0050974,0,0,68.28
I0050975,0,0,43.46
I0050976,0,0,66.21
I0050977,0,0,38.57
I0050978,0,0,36.54
I0050979,0,0,11.73
I0050980,0,0,12.42
I0050981,3,1,20.01
I0050982,0,0,8.94
I0050983,0,0,10.21
I0050984,7,1,8.07
I0050985,23,1,7.59
I0050986,0,0,8.28
I0050987,0,0,5.67
I0050988,0,0,8.97
I0050989,0,0,7.56
I0050990,0,0,12.08
I0050991,0,0,12.08
I0050992,0,0,10.32
I0050993,0,0,12.08
I0050994,0,0,0.35
I0050995,0,0,0.35
I0050996,0,0,0.35
I0050997,0,0,3.45
I0050998,0,0,8.97
I0050999,0,0,18.6
I0051000,3,1,18.6
I0051001,0,0,21.74
I0051002,0,0,13.08
I0051003,0,0,15.53
I0051004,0,0,9.63
I0051005,0,0,14.53
I0051006,3,1,7.59
I0051007,9,1,9.32
I0051008,0,0,13.46
I0051009,3,1,11.56
I0051010,0,0,9.91
I0051011,0,0,15.53
I0051012,0,0,15.53
I0051013,0,0,5.52
I0051014,0,0,5.52
I0051015,0,0,16.53
I0051016,0,0,12.39
I0051017,0,0,11.7
I0051018,4,1,9.63
I0051019,0,0,12.89
I0051020,0,0,13.69
I0051021,0,0,12.08
I0051022,0,0,1.38
I0051023,0,0,33.12
I0051024,0,0,23.46
I0051025,0,0,22.77
I0051026,0,0,26.57
I0051027,0,0,21.57
I0051028,0,0,13.8
I0051029,0,0,27.53
I0051030,0,0,6.9
I0051031,0,0,4.14
I0051032,0,0,25.88
I0051033,0,0,5.52
I0051034,0,0,20.7
I0051035,0,0,22.85
I0051036,0,0,18.6
I0051037,0,0,24.5
I0051038,0,0,28.26
I0051039,0,0,15.18
I0051040,0,0,6.87
I0051041,0,0,22.77
I0051042,0,0,20.67
I0051043,0,0,20.7
I0051044,0,0,19.32
I0051045,0,0,33.12
I0051046,0,0,30.36
I0051047,0,0,23.46
I0051048,0,0,17.51
I0051049,0,0,18.75
I0051050,0,0,11.73
I0051051,0,0,17.25
I0051052,0,0,17.25
I0051053,0,0,18.6
I0051054,0,0,24.84
I0051055,0,0,18.4
I0051056,0,0,11.7
I0051057,0,0,14.28
I0051058,0,0,14.84
I0051059,0,0,20.7
I0051060,0,0,16.01
I0051061,0,0,21.05
I0051062,0,0,16.56
I0051063,0,0,11.04
I0051064,0,0,10.35
I0051065,0,0,9.52
I0051066,0,0,10.01
I0051067,0,0,27.6
I0051068,3,1,13.11
I0051069,0,0,29.33
I0051070,0,0,21.05
I0051071,0,0,11.7
I0051072,0,0,19.29
I0051073,0,0,17.6
I0051074,0,0,25.88
I0051075,0,0,30.33
I0051076,0,0,18.44
I0051077,0,0,19.29
I0051078,0,0,17.58
I0051079,8,1,11.04
I0051080,0,0,19.29
I0051081,0,0,17.94
I0051082,0,0,14.9
I0051083,3,1,13.66
I0051084,0,0,14.49
I0051085,0,0,31.4
I0051086,0,0,20.01
I0051087,0,0,27.57
I0051088,0,0,17.91
I0051089,0,0,12.42
I0051090,0,0,11.73
I0051091,0,0,11.39
I0051092,0,0,19.67
I0051093,0,0,19.29
I0051094,0,0,19.29
I0051095,0,0,19.29
I0051096,0,0,2.76
I0051097,0,0,26.57
I0051098,0,0,30.33
I0051099,0,0,19.29
I0051100,0,0,17.94
I0051101,0,0,19.25
I0051102,0,0,19.29
I0051103,0,0,8.97
I0051104,0,0,13.8
I0051105,0,0,9.66
I0051106,1,1,17.25
I0051107,0,0,4.14
I0051108,0,0,12.24
I0051109,0,0,30.36
I0051110,0,0,15.18
I0051111,0,0,17.58
I0051112,0,0,18.98
I0051113,0,0,14.35
I0051114,0,0,15.18
I0051115,0,0,17.94
I0051116,0,0,18.77
I0051117,0,0,19.32
I0051118,0,0,20.67
I0051119,0,0,22.01
I0051120,0,0,19.29
I0051121,0,0,20.67
I0051122,0,0,11.04
I0051123,0,0,15.87
I0051124,0,0,9.78
I0051125,6,1,13.8
I0051126,0,0,15.87
I0051127,0,0,12.3
I0051128,0,0,11.04
I0051129,0,0,14.75
I0051130,0,0,13.51
I0051131,0,0,13.51
I0051132,0,0,17.36
I0051133,0,0,6.9
I0051134,0,0,13.51
I0051135,0,0,14.75
I0051136,0,0,14.75
I0051137,0,0,5.52
