sku,manage_stock,is_in_stock
I0050150,1,0
I0050151,1,0
I0050152,1,0
I0050153,1,1
I0050154,1,0
I0050155,1,1
I0050156,1,0
I0050157,1,1
I0050158,1,0
I0050159,1,0
I0050160,1,0
I0050161,1,0
I0050162,1,0
I0050163,1,1
I0050164,1,1
I0050165,1,1
I0050166,1,1
I0050167,1,1
I0050168,1,1
I0050169,1,1
I0050170,1,1
I0050171,1,1
I0050172,1,1
I0050173,1,1
I0050174,1,1
I0050175,1,1
I0050176,1,1
I0050177,1,1
I0050178,1,1
I0050179,1,1
I0050180,1,1
I0050181,1,0
I0050182,1,1
I0050183,1,0
I0050184,1,0
I0050185,1,0
I0050186,1,0
I0050187,1,1
I0050188,1,1
I0050189,1,1
I0050190,1,0
I0050191,1,0
I0050192,1,0
I0050193,1,0
I0050194,1,1
I0050195,1,1
I0050196,1,1
I0050197,1,0
I0050198,1,1
I0050199,1,0
I0050200,1,0
I0050201,1,0
I0050202,1,1
I0050203,1,0
I0050204,1,1
I0050205,1,0
I0050206,1,0
I0050207,1,0
I0050208,1,0
I0050209,1,0
I0050210,1,0
I0050211,1,0
I0050212,1,0
I0050213,1,0
I0050214,1,0
I0050215,1,0
I0050216,1,0
I0050217,1,0
I0050218,1,0
I0050219,1,0
I0050220,1,0
I0050221,1,0
I0050222,1,1
I0050223,1,0
I0050224,1,0
I0050225,1,0
I0050226,1,0
I0050227,1,0
I0050228,1,0
I0050229,1,0
I0050230,1,0
I0050231,1,0
I0050232,1,0
I0050233,1,0
I0050234,1,0
I0050235,1,0
I0050236,1,0
I0050237,1,0
I0050238,1,0
I0050239,1,0
I0050240,1,0
I0050241,1,0
I0050242,1,0
I0050243,1,0
I0050244,1,0
I0050245,1,0
I0050246,1,0
I0050247,1,0
I0050248,1,0
I0050249,1,0
I0050250,1,0
I0050251,1,0
I0050252,1,0
I0050253,1,1
I0050254,1,0
I0050255,1,0
I0050256,1,0
I0050257,1,0
I0050258,1,0
I0050259,1,0
I0050260,1,0
I0050261,1,0
I0050262,1,0
I0050263,1,0
I0050264,1,0
I0050265,1,0
I0050266,1,0
I0050267,1,0
I0050268,1,0
I0050269,1,0
I0050270,1,0
I0050271,1,1
I0050272,1,0
I0050273,1,0
I0050274,1,1
I0050275,1,0
I0050276,1,0
I0050277,1,0
I0050278,1,0
I0050279,1,0
I0050280,1,0
I0050281,1,0
I0050282,1,0
I0050283,1,1
I0050284,1,1
I0050285,1,1
I0050286,1,1
I0050287,1,1
I0050288,1,1
I0050289,1,1
I0050290,1,1
I0050291,1,1
I0050292,1,1
I0050293,1,0
I0050294,1,0
I0050295,1,1
I0050296,1,0
I0050297,1,1
I0050298,1,1
I0050299,1,1
I0050300,1,0
I0050301,1,0
I0050302,1,1
I0050303,1,0
I0050304,1,0
I0050305,1,1
I0050306,1,0
I0050307,1,0
I0050308,1,0
I0050309,1,0
I0050310,1,0
I0050311,1,0
I0050312,1,0
I0050313,1,0
I0050314,1,0
I0050315,1,0
I0050316,1,0
I0050317,1,0
I0050318,1,0
I0050319,1,0
I0050320,1,0
I0050321,1,1
I0050322,1,0
I0050323,1,0
I0050324,1,0
I0050325,1,0
I0050326,1,0
I0050327,1,0
I0050328,1,0
I0050329,1,0
I0050330,1,0
I0050331,1,0
I0050332,1,0
I0050333,1,0
I0050334,1,0
I0050335,1,0
I0050336,1,0
I0050337,1,0
