sku,qty,is_in_stock,price
I0005038,0,0,60.72
I0005039,0,0,9.32
I0005040,0,0,36.23
I0005041,1,1,10.01
I0005042,0,0,5.52
I0005043,0,0,27.6
I0005044,0,0,52.44
I0005045,0,0,23.81
I0005046,0,0,26.57
I0005047,0,0,39.68
I0005048,0,0,12.77
I0005049,0,0,34.5
I0005050,-4,0,60.72
I0005051,0,0,5.87
I0005052,0,0,23.81
I0005053,0,0,10.01
I0005054,0,0,10.01
I0005055,0,0,36.23
I0005056,0,0,10.01
I0005057,0,0,11.39
I0005058,0,0,20.36
I0005059,12,1,60.72
I0005060,0,0,13.46
I0005061,0,0,7.94
I0005062,0,0,12.08
I0005063,3,1,41.4
I0005064,0,0,14.15
I0005065,0,0,60.72
I0005066,1,1,20.7
I0005067,0,0,6.9
I0005068,4,1,6.9
I0005069,0,0,10.7
I0005070,0,0,28.64
I0005071,0,0,12.77
I0005072,0,0,17.6
I0005073,0,0,5.87
I0005074,1,1,49.68
I0005075,0,0,12.08
I0005076,0,0,13.46
I0005077,0,0,13.46
I0005078,0,0,10.7
I0005079,0,0,7.94
I0005080,0,0,7.94
I0005081,0,0,27.26
I0005082,0,0,12.77
I0005083,0,0,11.39
I0005084,0,0,14.15
I0005085,0,0,10.7
I0005086,0,0,14.84
I0005087,0,0,23.81
I0005088,0,0,26.57
I0005089,0,0,39.68
I0005090,0,0,11.39
I0005091,0,0,12.08
I0005092,0,0,17.6
I0005093,0,0,20.36
I0005094,0,0,26.57
I0005095,0,0,10.7
I0005096,0,0,26.57
I0005097,0,0,17.6
I0005098,0,0,12.77
I0005099,4,1,60.72
I0005100,0,0,13.46
I0005101,0,0,26.57
I0005102,0,0,12.08
I0005103,0,0,17.6
I0005104,1,1,13.66
I0005105,0,0,9.32
I0005106,1,1,35.88
I0005107,12,1,21.39
I0005108,35,1,7.94
I0005109,14,1,7.94
I0005110,8,1,8.97
I0005111,12,1,117.3
I0005112,0,0,34.5
I0005113,6,1,28.98
I0005114,23,1,35.88
I0005115,2,1,28.98
I0005116,8,1,35.88
I0005117,6,1,28.98
I0005118,0,0,6.9
I0005119,0,0,27.6
I0005120,0,0,9.32
I0005121,0,0,0.83
I0005122,1,1,3.45
I0005123,0,0,5.23
I0005124,0,0,2.9
I0005125,0,0,4.83
I0005126,0,0,36.97
I0005127,0,0,2.75
I0005128,2,1,2.15
I0005129,378,1,3.38
I0005130,8,1,26.91
I0005131,0,0,30.36
I0005132,0,0,28.15
I0005133,0,0,5.52
I0005134,1,1,17.94
I0005135,-1,0,9.32
I0005136,1,1,9.32
I0005137,5,1,9.32
I0005138,20,1,2.48
I0005139,-14,0,2.48
I0005140,866,1,7.94
I0005141,80,1,4.69
I0005142,70,1,12.42
I0005143,0,0,6.83
I0005144,0,0,51.06
I0005145,0,0,2.97
I0005146,0,0,34.5
I0005147,0,0,34.5
I0005148,0,0,28.98
I0005149,0,0,34.5
I0005150,72,1,4.83
I0005151,37,1,4.83
I0005152,126,1,46.92
I0005153,0,0,18.29
I0005154,0,0,1.21
I0005155,0,0,1.26
I0005156,0,0,1.21
I0005157,0,0,24.84
I0005158,0,0,75.9
I0005159,2,1,20.7
I0005160,107,1,3.11
I0005161,17,1,4.69
I0005162,4,1,2.75
I0005163,0,0,4.24
I0005164,0,0,4.26
I0005165,0,0,4.14
I0005166,0,0,4.25
I0005167,3,1,4.5
I0005168,6,1,4.35
I0005169,4,1,4.35
I0005170,0,0,4.42
I0005171,57,1,4.35
I0005172,10,1,4.76
I0005173,79,1,6.21
I0005174,50,1,44.16
I0005175,32,1,2.39
I0005176,33,1,22.08
I0005177,0,0,34.5
I0005178,0,0,2.48
I0005179,1,1,33.12
I0005180,0,0,23.46
I0005181,0,0,51.06
I0005182,0,0,15.39
I0005183,0,0,17.94
I0005184,0,0,17.94
I0005185,0,0,17.94
I0005186,78,1,4.69
I0005187,129,1,5.87
I0005188,0,0,19.32
I0005189,2,1,12.42
I0005190,0,0,2.76
I0005191,357,1,3.38
I0005192,3,1,4.14
I0005193,0,0,1.81
I0005194,520,1,2.62
I0005195,0,0,93.84
I0005196,0,0,37.26
I0005197,0,0,3.22
I0005198,0,0,16.56
I0005199,0,0,46.92
I0005200,0,0,20.7
I0005201,2,1,7.94
I0005202,0,0,8.97
I0005203,0,0,22.08
I0005204,0,0,22.08
I0005205,0,0,20.7
I0005206,0,0,18.92
I0005207,0,0,22.08
I0005208,0,0,20.7
I0005209,0,0,22.08
I0005210,8,1,62.1
I0005211,12,1,82.8
I0005212,1,1,6.9
I0005213,2,1,8.63
I0005214,2,1,10.35
I0005215,0,0,7.45
I0005216,60,1,3.8
I0005217,24,1,52.44
I0005218,12,1,3.41
I0005219,0,0,6.8
I0005220,1,1,2.75
I0005221,73,1,4.69
I0005222,3,1,69
I0005223,3,1,57.96
I0005224,0,0,69
I0005225,0,0,31.74
I0005226,0,0,69
I0005227,1,1,57.96
I0005228,0,0,66.24
I0005229,0,0,31.74
I0005230,1,1,57.96
I0005231,2,1,69
I0005232,13,1,57.96
I0005233,2,1,69
I0005234,0,0,31.74
I0005235,2,1,69
I0005236,1,1,57.96
I0005237,0,0,69
I0005238,0,0,31.74
I0005239,0,0,69
I0005240,0,0,31.74
I0005241,0,0,57.96
I0005242,0,0,69
I0005243,0,0,31.74
I0005244,17,1,11.39
I0005245,0,0,11.73
I0005246,18,1,11.04
I0005247,9,1,11.04
I0005248,0,0,11.39
I0005249,17,1,9.66
I0005250,35,1,12.42
I0005251,3,1,13.8
I0005252,59,1,6.21
I0005253,0,0,9.66
I0005254,0,0,6.21
I0005255,1,1,9.66
I0005256,0,0,13.8
I0005257,46,1,11.39
I0005258,0,0,12.42
I0005259,0,0,5.87
I0005260,0,0,14.49
I0005261,1,1,17.94
I0005262,2,1,17.94
I0005263,0,0,23.12
I0005264,-1,0,20.7
I0005265,-1,0,23.12
I0005266,3,1,16.56
I0005267,0,0,27.6
I0005268,1,1,8.28
I0005269,0,0,14.49
I0005270,0,0,14.49
I0005271,1,1,11.39
I0005272,0,0,5.52
I0005273,70,1,3.52
I0005274,0,0,2.07
I0005275,0,0,4.14
I0005276,260,1,2.46
I0005277,-1,0,16.56
I0005278,10,1,9.66
I0005279,3,1,6.9
I0005280,5,1,2.79
I0005281,10,1,3.86
I0005282,0,0,23.46
I0005283,0,0,23.46
I0005284,0,0,40.02
I0005285,0,0,40.02
I0005286,0,0,5.18
I0005287,0,0,1.3
I0005288,13,1,1.31
I0005289,0,0,22.01
I0005290,0,0,33.55
I0005291,0,0,40.02
I0005292,0,0,40.02
I0005293,0,0,40.02
I0005294,0,0,41.4
I0005295,0,0,40.02
I0005296,0,0,40.02
I0005297,0,0,1.79
I0005298,122,1,55.2
I0005299,0,0,31.74
I0005300,0,0,69
I0005301,0,0,31.74
I0005302,0,0,57.96
I0005303,0,0,57.96
I0005304,0,0,69
I0005305,0,0,31.74
I0005306,1,1,24.84
I0005307,13,1,69
I0005308,128,1,2.75
I0005309,0,0,31.74
I0005310,482,1,4.83
I0005311,306,1,2.75
I0005312,383,1,4.83
I0005313,10,1,64.86
I0005314,5,1,4.83
I0005315,0,0,4.83
I0005316,6,1,4.83
I0005317,4,1,4.83
I0005318,6,1,4.83
I0005319,14,1,4.83
I0005320,46,1,4.83
I0005321,1,1,4.83
I0005322,47,1,4.83
I0005323,69,1,4.83
I0005324,3,1,4.83
I0005325,9,1,4.83
I0005326,27,1,4.83
I0005327,3,1,4.83
I0005328,0,0,4.83
I0005329,3,1,4.83
I0005330,3,1,4.83
I0005331,3,1,4.83
I0005332,3,1,4.49
I0005333,3,1,4.49
I0005334,9,1,4.49
I0005335,3,1,4.49
I0005336,2,1,4.49
I0005337,0,0,26.22
I0005338,0,0,19.32
I0005339,49,1,18.63
I0005340,0,0,0
I0005341,0,0,0
I0005342,16,1,38.64
I0005343,0,0,0
I0005344,0,0,37.26
I0005345,0,0,0
I0005346,0,0,37.26
I0005347,49,1,37.26
I0005348,0,0,37.26
I0005349,0,0,37.26
I0005350,0,0,38.64
I0005351,271,1,5.52
I0005352,3,1,7.59
I0005353,-6,0,9.38
I0005354,7,1,7.59
I0005355,3,1,8.28
I0005356,3,1,151.8
I0005357,0,0,151.8
I0005358,3,1,151.8
I0005359,0,0,151.8
I0005360,0,0,151.8
I0005361,951,1,8.63
I0005362,0,0,3.34
I0005363,20,1,2.75
I0005364,7,1,4.83
I0005365,0,0,13.8
I0005366,0,0,23.46
I0005367,0,0,23.46
I0005368,-227,0,7.94
I0005369,269,1,3.38
I0005370,0,0,33.12
I0005371,0,0,40.02
I0005372,0,0,40.02
I0005373,1,1,16.56
I0005374,0,0,63.48
I0005375,24,1,3.86
I0005376,391,1,3.86
I0005377,12,1,3.86
I0005378,128,1,4.14
I0005379,0,0,93.84
I0005380,0,0,41.4
I0005381,10,1,44.16
I0005382,0,0,41.4
I0005383,0,0,41.4
I0005384,3,1,55.2
I0005385,6,1,35.88
I0005386,0,0,5.52
I0005387,565,1,3.34
I0005388,82,1,2.48
I0005389,6,1,44.16
I0005390,0,0,4.14
I0005391,-1,0,4.69
I0005392,4,1,2.42
I0005393,0,0,34.29
I0005394,0,0,5.18
I0005395,98,1,4.35
I0005396,108,1,4.49
I0005397,221,1,4.35
I0005398,33,1,4.69
I0005399,4,1,4.49
I0005400,108,1,4.35
I0005401,99,1,4.35
I0005402,107,1,4.35
I0005403,114,1,4.35
I0005404,90,1,4.35
I0005405,63,1,4.35
I0005406,102,1,4.35
I0005407,166,1,4.35
I0005408,94,1,4.35
I0005409,100,1,4.35
I0005410,101,1,4.49
I0005411,105,1,4.35
I0005412,5,1,4.49
I0005413,16,1,4.49
I0005414,13,1,4.49
I0005415,-5,0,4.49
I0005416,0,0,4.49
I0005417,1,1,5.87
I0005418,0,0,7.59
I0005419,0,0,31.67
I0005420,0,0,31.67
