sku,qty,is_in_stock,price,errors
I0077532,0,0,89.7,
I0077533,0,0,89.7,
I0077534,0,0,89.7,
I0077535,0,0,34.61,
I0077536,0,0,10.32,
I0077537,0,0,16.09,
I0077538,0,0,44.82,
I0077539,0,0,55.53,
I0077540,0,0,15.15,
I0077541,0,0,9.56,
I0077542,0,0,41.34,
I0077543,0,0,41.34,
I0077544,0,0,7.07,
I0077545,0,0,3.35,
I0077546,0,0,11.98,
I0077547,0,0,57.2,
I0077548,0,0,124.34,
I0077549,0,0,31.74,
I0077550,0,0,35.19,
I0077551,0,0,20.01,
I0077552,0,0,28.7,
I0077553,0,0,39.52,
I0077554,0,0,28.7,
I0077555,0,0,28.7,
I0077556,0,0,9.3,
I0077557,0,0,13.8,
I0077558,0,0,26.22,
I0077559,0,0,75.31,
I0077560,0,0,87.05,
I0077561,0,0,92.74,
I0077562,0,0,27.3,
I0077563,0,0,22.02,
I0077564,0,0,22.08,
I0077565,0,0,28.98,
I0077566,0,0,28.98,
I0077567,0,0,102.48,
I0077568,0,0,53.03,
I0077569,0,0,17.94,
I0077570,0,0,12.96,
I0077571,0,0,22.56,
I0077572,0,0,22.41,
I0077573,0,0,29.38,
I0077574,0,0,43.57,
I0077575,0,0,22.18,
I0077576,0,0,28.54,
I0077577,0,0,25.46,
I0077578,0,0,25.88,
I0077579,0,0,13.73,
I0077580,0,0,21.35,
I0077581,0,0,20.27,
I0077582,0,0,14.86,
I0077583,0,0,14.84,
I0077584,0,0,17.51,
I0077585,0,0,16.15,
I0077586,0,0,49.54,
I0077587,0,0,33.48,
I0077588,0,0,34.1,
I0077589,0,0,42.53,
I0077590,0,0,32.09,
I0077591,0,0,30.3,
I0077592,0,0,36,
I0077593,0,0,30.3,
I0077594,0,0,30.61,
I0077595,0,0,17.39,
I0077596,0,0,17.19,
I0077597,0,0,17.39,
I0077598,0,0,13.19,
I0077599,0,0,16.3,
I0077600,0,0,17.39,
I0077601,0,0,14.52,
I0077602,0,0,30.97,
I0077603,0,0,68.25,
I0077604,0,0,28.7,
I0077605,0,0,56.93,
I0077606,0,0,34.47,
I0077607,0,0,48.42,
I0077608,0,0,27.85,
I0077609,0,0,50.58,
I0077610,0,0,40.56,
I0077611,0,0,27.31,
I0077612,0,0,24.26,
I0077613,0,0,48.44,
I0077614,0,0,18.55,
I0077615,0,0,53.63,
I0077616,0,0,53.63,
I0077617,0,0,21.47,
I0077618,0,0,13.8,
I0077619,0,0,16.27,
I0077620,0,0,19.68,
I0077621,0,0,22.29,
I0077622,0,0,21.33,
I0077623,0,0,12.38,
I0077624,0,0,15.18,
I0077625,0,0,22.6,
I0077626,0,0,16.23,
I0077627,0,0,27.24,
I0077628,0,0,33.74,
I0077629,0,0,29.99,
I0077630,0,0,27.7,
I0077631,0,0,26.57,
I0077632,0,0,26.58,
I0077633,0,0,44.01,
I0077634,0,0,27.71,
I0077635,0,0,27.7,
I0077636,0,0,28.91,
I0077637,0,0,27.7,
I0077638,0,0,38.64,
I0077639,0,0,57.34,
I0077640,0,0,44.01,
I0077641,0,0,44.02,
I0077642,0,0,44.01,
I0077643,0,0,44.01,
I0077644,0,0,28.01,
I0077645,0,0,39.16,
I0077646,0,0,28.01,
I0077647,0,0,79.03,
I0077648,0,0,97,
I0077649,0,0,53.1,
I0077650,0,0,102.48,
I0077651,0,0,48.58,
I0077652,0,0,17.4,
I0077653,0,0,32.94,
I0077654,0,0,33.4,
I0077655,0,0,20.67,
I0077656,0,0,22.11,
I0077657,0,0,30.28,
I0077658,0,0,23,
I0077659,0,0,22.66,
I0077660,0,0,24.4,
I0077661,0,0,13.79,
I0077662,0,0,21.53,
I0077663,0,0,35.85,
I0077664,0,0,19.84,
I0077665,0,0,23.54,
I0077666,0,0,20.47,
I0077667,0,0,23.54,
I0077668,0,0,18.63,
I0077669,0,0,22.08,
I0077670,0,0,27.26,
I0077671,0,0,22.77,
I0077672,0,0,42.56,
I0077673,0,0,40.78,
I0077674,0,0,28.95,
I0077675,0,0,31.74,
I0077676,0,0,19.32,
I0077677,0,0,25.81,
I0077678,0,0,46.73,
I0077679,0,0,34.31,
I0077680,0,0,30.19,
I0077681,0,0,41.19,
I0077682,0,0,15.87,
I0077683,0,0,28.1,
I0077684,0,0,22.08,
I0077685,0,0,32.54,
I0077686,0,0,47.07,
I0077687,0,0,29.39,
I0077688,0,0,39.47,
I0077689,0,0,29.37,
I0077690,0,0,49.83,
I0077691,0,0,16.91,
I0077692,0,0,56.9,
I0077693,0,0,29.5,
I0077694,0,0,23.46,
I0077695,0,0,40.06,
I0077696,0,0,44.78,
I0077697,0,0,31.68,
I0077698,0,0,24.47,
I0077699,0,0,21.22,
I0077700,0,0,20.37,
I0077701,0,0,23.09,
I0077702,0,0,14.3,
I0077703,0,0,18.13,
I0077704,0,0,16.68,
I0077705,0,0,16.1,
I0077706,0,0,15.18,
I0077707,0,0,20.7,
I0077708,0,0,17.73,
I0077709,0,0,7.91,
