sku,manage_stock,is_in_stock
I0020131,1,1
I0020132,1,1
I0020133,1,0
I0020134,1,1
I0020135,1,1
I0020136,1,0
I0020137,1,1
I0020138,1,0
I0020139,1,1
I0020140,1,0
I0020141,1,0
I0020142,1,1
I0020143,1,0
I0020144,1,0
I0020145,1,1
I0020146,1,1
I0020147,1,1
I0020148,1,1
I0020149,1,1
I0020150,1,0
I0020151,1,0
I0020152,1,1
I0020153,1,0
I0020154,1,1
I0020155,1,0
I0020156,1,0
I0020157,1,0
I0020158,1,1
I0020159,1,0
I0020160,1,1
I0020161,1,1
I0020162,1,0
I0020163,1,1
I0020164,1,0
I0020165,1,0
I0020166,1,0
I0020167,1,0
I0020168,1,0
I0020169,1,0
I0020170,1,1
I0020171,1,1
I0020172,1,1
I0020173,1,1
I0020174,1,1
I0020175,1,1
I0020176,1,1
I0020177,1,1
I0020178,1,1
I0020179,1,1
I0020180,1,1
I0020181,1,0
I0020182,1,0
I0020183,1,0
I0020184,1,1
I0020185,1,1
I0020186,1,1
I0020187,1,0
I0020188,1,0
I0020189,1,0
I0020190,1,1
I0020191,1,1
I0020192,1,1
I0020193,1,1
I0020194,1,1
I0020195,1,0
I0020196,1,0
I0020197,1,1
I0020198,1,1
I0020199,1,1
I0020200,1,0
I0020201,1,1
I0020202,1,1
I0020203,1,1
I0020204,1,1
I0020205,1,0
I0020206,1,1
I0020207,1,1
I0020208,1,0
I0020209,1,1
I0020210,1,1
I0020211,1,0
I0020212,1,0
I0020213,1,0
I0020214,1,0
I0020215,1,1
I0020216,1,1
I0020217,1,1
I0020218,1,1
I0020219,1,0
I0020220,1,0
I0020221,1,0
I0020222,1,1
I0020223,1,1
I0020224,1,1
I0020225,1,0
I0020226,1,1
I0020227,1,0
I0020228,1,0
I0020229,1,1
I0020230,1,1
I0020231,1,0
I0020232,1,0
I0020233,1,0
I0020234,1,0
I0020235,1,1
I0020236,1,1
I0020237,1,1
I0020238,1,1
I0020239,1,1
I0020240,1,0
I0020241,1,1
I0020242,1,1
I0020243,1,0
I0020244,1,0
I0020245,1,0
I0020246,1,1
I0020247,1,1
I0020248,1,1
I0020249,1,1
I0020250,1,0
I0020251,1,1
I0020252,1,1
I0020253,1,1
I0020254,1,0
I0020255,1,0
I0020256,1,0
I0020257,1,1
I0020258,1,0
I0020259,1,0
I0020260,1,0
I0020261,1,0
I0020262,1,0
I0020263,1,0
I0020264,1,1
I0020265,1,0
I0020266,1,0
I0020267,1,1
I0020268,1,0
I0020269,1,1
I0020270,1,0
I0020271,1,0
I0020272,1,0
I0020273,1,0
I0020274,1,0
I0020275,1,1
I0020276,1,1
I0020277,1,1
I0020278,1,1
I0020279,1,1
I0020280,1,1
I0020281,1,1
I0020282,1,0
I0020283,1,1
I0020284,1,1
I0020285,1,1
I0020286,1,0
I0020287,1,1
I0020288,1,1
I0020289,1,1
I0020290,1,1
I0020291,1,0
I0020292,1,1
I0020293,1,1
I0020294,1,1
I0020295,1,1
I0020296,1,1
I0020297,1,1
I0020298,1,1
I0020299,1,1
I0020300,1,1
I0020301,1,0
I0020302,1,1
I0020303,1,1
I0020304,1,1
I0020305,1,1
I0020306,1,1
I0020307,1,1
I0020308,1,1
I0020309,1,1
I0020310,1,1
I0020311,1,1
I0020312,1,1
I0020313,1,0
I0020314,1,1
I0020315,1,1
I0020316,1,1
I0020317,1,1
I0020318,1,0
I0020319,1,1
I0020320,1,0
I0020321,1,1
I0020322,1,1
I0020323,1,0
I0020324,1,0
I0020325,1,0
I0020326,1,1
I0020327,1,0
I0020328,1,0
I0020329,1,1
I0020330,1,0
I0020331,1,1
I0020332,1,1
I0020333,1,1
I0020334,1,1
I0020335,1,1
I0020336,1,1
I0020337,1,0
I0020338,1,0
I0020339,1,1
I0020340,1,0
I0020341,1,0
I0020342,1,1
I0020343,1,1
I0020344,1,1
I0020345,1,1
I0020346,1,1
I0020347,1,1
I0020348,1,0
I0020349,1,1
I0020350,1,1
I0020351,1,0
I0020352,1,1
I0020353,1,1
I0020354,1,1
I0020355,1,1
I0020356,1,0
I0020357,1,1
I0020358,1,1
I0020359,1,1
I0020360,1,1
I0020361,1,1
I0020362,1,1
I0020363,1,1
I0020364,1,1
I0020365,1,1
I0020366,1,0
I0020367,1,0
I0020368,1,0
I0020369,1,0
I0020370,1,1
I0020371,1,0
I0020372,1,1
I0020373,1,1
I0020374,1,0
I0020375,1,1
I0020376,1,1
I0020377,1,1
I0020378,1,0
I0020379,1,0
I0020380,1,0
I0020381,1,1
I0020382,1,0
I0020383,1,0
I0020384,1,1
I0020385,1,0
I0020386,1,1
I0020387,1,1
I0020388,1,0
I0020389,1,1
I0020390,1,1
I0020391,1,1
I0020392,1,1
I0020393,1,1
I0020394,1,1
I0020395,1,0
I0020396,1,0
I0020397,1,1
I0020398,1,1
I0020399,1,0
I0020400,1,0
I0020401,1,1
I0020402,1,1
I0020403,1,1
I0020404,1,1
I0020405,1,1
I0020406,1,1
I0020407,1,0
I0020408,1,1
I0020409,1,0
I0020410,1,0
I0020411,1,0
I0020412,1,0
I0020413,1,0
I0020414,1,0
I0020415,1,0
I0020416,1,1
I0020417,1,0
I0020418,1,0
I0020419,1,0
I0020420,1,1
I0020421,1,1
I0020422,1,1
I0020423,1,0
I0020424,1,1
I0020425,1,1
I0020426,1,1
I0020427,1,1
I0020428,1,0
I0020429,1,0
I0020430,1,0
I0020431,1,1
I0020432,1,1
I0020433,1,1
I0020434,1,1
I0020435,1,1
I0020436,1,0
I0020437,1,0
I0020438,1,0
I0020439,1,1
I0020440,1,0
I0020441,1,0
I0020442,1,0
I0020443,1,1
I0020444,1,0
I0020445,1,0
I0020446,1,1
I0020447,1,1
I0020448,1,1
I0020449,1,1
I0020450,1,1
I0020451,1,0
I0020452,1,1
I0020453,1,1
I0020454,1,0
I0020455,1,0
I0020456,1,0
I0020457,1,0
I0020458,1,0
I0020459,1,1
I0020460,1,1
I0020461,1,1
I0020462,1,0
I0020463,1,0
I0020464,1,0
I0020465,1,1
I0020466,1,1
I0020467,1,1
I0020468,1,1
I0020469,1,1
I0020470,1,1
