sku,qty,is_in_stock,price
I0016827,1,1,55.2
I0016828,3,1,82.8
I0016829,2,1,75.9
I0016830,3,1,82.8
I0016831,2,1,75.9
I0016832,3,1,82.8
I0016833,3,1,82.8
I0016834,5,1,55.2
I0016835,16,1,55.2
I0016836,5,1,55.2
I0016837,3,1,55.2
I0016838,4,1,55.2
I0016839,3,1,60.72
I0016840,2,1,75.9
I0016841,2,1,75.9
I0016842,3,1,82.8
I0016843,3,1,82.8
I0016844,23,1,89.7
I0016845,6,1,82.8
I0016846,1,1,82.8
I0016847,2,1,89.7
I0016848,3,1,103.5
I0016849,3,1,89.7
I0016850,3,1,82.8
I0016851,2,1,82.8
I0016852,17,1,28.98
I0016853,18,1,28.98
I0016854,14,1,28.98
I0016855,34,1,28.98
I0016856,19,1,28.98
I0016857,24,1,28.98
I0016858,18,1,28.98
I0016859,20,1,28.98
I0016860,1,1,15.73
I0016861,0,0,15.73
I0016862,3,1,33.12
I0016863,23,1,69
I0016864,0,0,33.81
I0016865,1,1,41.4
I0016866,4,1,40.02
I0016867,0,0,44.16
I0016868,2,1,43.14
I0016869,0,0,43.14
I0016870,0,0,44.16
I0016871,2,1,44.16
I0016872,0,0,44.16
I0016873,0,0,44.16
I0016874,0,0,44.16
I0016875,0,0,43.14
I0016876,1,1,44.16
I0016877,0,0,44.16
I0016878,0,0,43.14
I0016879,1,1,43.14
I0016880,1,1,49.56
I0016881,0,0,25.53
I0016882,0,0,25.53
I0016883,0,0,25.53
I0016884,2,1,25.53
I0016885,0,0,25.53
I0016886,1,1,41.4
I0016887,2,1,41.4
I0016888,1,1,41.3
I0016889,1,1,41.4
I0016890,0,0,25.53
I0016891,-1,0,23.46
I0016892,35,1,23.46
I0016893,0,0,46.92
I0016894,0,0,46.92
I0016895,7,1,37.26
I0016896,7,1,37.26
I0016897,7,1,37.26
I0016898,11,1,42.78
I0016899,4,1,42.78
I0016900,4,1,42.78
I0016901,0,0,6.56
I0016902,0,0,3.59
I0016903,-12,0,3.8
I0016904,0,0,3.8
I0016905,-7,0,3.59
I0016906,0,0,3.8
I0016907,4,1,27.6
I0016908,4,1,33.81
I0016909,2,1,24.15
I0016910,1,1,24.15
I0016911,0,0,24.15
I0016912,0,0,24.15
I0016913,0,0,24.15
I0016914,0,0,24.15
I0016915,0,0,25.53
I0016916,0,0,25.53
I0016917,2,1,25.53
I0016918,0,0,25.53
I0016919,11,1,23.46
I0016920,2,1,648.6
I0016921,0,0,55.2
I0016922,1,1,49.68
I0016923,0,0,30.36
I0016924,0,0,33.81
I0016925,1,1,30.36
I0016926,4,1,30.36
I0016927,8,1,30.36
I0016928,6,1,30.36
I0016929,3,1,30.36
I0016930,4,1,30.36
I0016931,6,1,30.36
I0016932,4,1,30.36
I0016933,14,1,30.36
I0016934,1,1,30.36
I0016935,0,0,33.81
I0016936,0,0,33.81
I0016937,12,1,30.36
I0016938,7,1,30.36
I0016939,13,1,23.46
I0016940,0,0,35.88
I0016941,0,0,24.15
I0016942,9,1,22.77
I0016943,0,0,24.15
I0016944,0,0,24.15
I0016945,0,0,27.6
I0016946,0,0,27.6
I0016947,1,1,27.6
I0016948,2,1,27.6
I0016949,0,0,27.6
I0016950,0,0,27.6
I0016951,0,0,27.6
I0016952,28,1,20.7
I0016953,1,1,28.29
I0016954,0,0,28.29
I0016955,0,0,28.29
I0016956,0,0,28.29
I0016957,0,0,28.29
I0016958,2,1,28.29
I0016959,1,1,28.29
I0016960,2,1,28.29
I0016961,1,1,28.29
I0016962,1,1,28.29
I0016963,1,1,28.29
I0016964,1,1,28.29
I0016965,2,1,28.29
I0016966,1,1,28.29
I0016967,2,1,28.29
I0016968,1,1,28.29
I0016969,1,1,28.29
I0016970,1,1,28.29
I0016971,0,0,28.29
I0016972,0,0,28.29
I0016973,0,0,38.64
I0016974,1,1,38.64
I0016975,1,1,38.64
I0016976,1,1,38.64
I0016977,2,1,38.64
I0016978,-1,0,38.64
I0016979,2,1,38.64
I0016980,0,0,38.64
I0016981,2,1,38.64
I0016982,0,0,41.4
I0016983,2,1,41.4
I0016984,2,1,41.3
I0016985,2,1,41.4
I0016986,1,1,41.4
I0016987,1,1,41.4
I0016988,0,0,41.4
I0016989,0,0,41.4
I0016990,0,0,41.4
I0016991,1,1,57.96
I0016992,1,1,57.96
I0016993,0,0,57.96
I0016994,1,1,57.96
I0016995,1,1,57.96
I0016996,1,1,57.96
I0016997,1,1,57.96
I0016998,0,0,57.96
I0016999,1,1,57.96
I0017000,1,1,41.4
I0017001,2,1,57.96
I0017002,0,0,57.96
I0017003,1,1,41.4
I0017004,0,0,57.96
I0017005,1,1,57.96
I0017006,0,0,57.96
I0017007,0,0,41.4
I0017008,0,0,41.4
I0017009,1,1,57.96
I0017010,1,1,57.96
I0017011,2,1,57.96
I0017012,1,1,56.9
I0017013,1,1,57.96
I0017014,1,1,57.96
I0017015,0,0,3.8
I0017016,7,1,22.43
I0017017,8,1,22.43
I0017018,7,1,22.43
I0017019,3,1,22.43
I0017020,10,1,22.43
I0017021,9,1,22.43
I0017022,0,0,34.5
I0017023,4,1,62.1
I0017024,2,1,75.9
I0017025,0,0,26.22
I0017026,3,1,59.34
I0017027,4,1,59.34
I0017028,0,0,39.47
I0017029,0,0,33.12
I0017030,0,0,28.29
I0017031,1,1,26.22
I0017032,0,0,28.29
I0017033,2,1,28.29
I0017034,2,1,26.22
I0017035,1,1,26.22
I0017036,-2,0,23.46
I0017037,17,1,23.46
I0017038,12,1,23.46
I0017039,63,1,22.08
I0017040,25,1,23.46
I0017041,0,0,19.32
I0017042,4,1,63.48
I0017043,5,1,57.96
I0017044,1,1,20.7
I0017045,3,1,20.7
I0017046,0,0,165.6
I0017047,0,0,52.44
I0017048,0,0,52.44
I0017049,0,0,52.44
I0017050,0,0,52.44
I0017051,1,1,38.64
I0017052,3,1,33.12
I0017053,0,0,27.6
I0017054,6,1,26.91
I0017055,0,0,27.6
I0017056,0,0,27.6
I0017057,0,0,27.6
I0017058,4,1,26.91
I0017059,0,0,27.6
I0017060,7,1,26.91
I0017061,0,0,27.6
I0017062,0,0,27.6
I0017063,0,0,27.6
I0017064,0,0,27.6
I0017065,8,1,26.91
I0017066,7,1,26.91
I0017067,3,1,26.91
I0017068,7,1,26.91
I0017069,0,0,27.6
I0017070,6,1,26.91
I0017071,0,0,27.6
I0017072,0,0,27.6
I0017073,22,1,19.32
I0017074,0,0,40.02
I0017075,3,1,66.24
I0017076,0,0,26.91
I0017077,0,0,26.91
I0017078,3,1,24.84
I0017079,1,1,26.91
I0017080,1,1,20.7
I0017081,2,1,46.92
I0017082,0,0,46.92
I0017083,7,1,28.98
I0017084,7,1,28.98
I0017085,4,1,28.98
I0017086,3,1,28.98
I0017087,4,1,28.98
I0017088,3,1,28.98
I0017089,1,1,31.74
I0017090,0,0,31.74
I0017091,0,0,31.74
I0017092,8,1,28.98
I0017093,4,1,28.98
