sku,manage_stock,is_in_stock
I0060151,1,0
I0060152,1,0
I0060153,1,0
I0060154,1,0
I0060155,1,0
I0060156,1,0
I0060157,1,0
I0060158,1,0
I0060159,1,0
I0060160,1,0
I0060161,1,0
I0060162,1,0
I0060163,1,0
I0060164,1,0
I0060165,1,0
I0060166,1,0
I0060167,1,0
I0060168,1,0
I0060169,1,0
I0060170,1,0
I0060171,1,0
I0060172,1,0
I0060173,1,0
I0060174,1,0
I0060175,1,0
I0060176,1,0
I0060177,1,0
I0060178,1,0
I0060179,1,0
I0060180,1,0
I0060181,1,0
I0060182,1,0
I0060183,1,0
I0060184,1,0
I0060185,1,0
I0060186,1,0
I0060187,1,0
I0060188,1,0
I0060189,1,0
I0060190,1,0
I0060191,1,0
I0060192,1,0
I0060193,1,0
I0060194,1,0
I0060195,1,0
I0060196,1,0
I0060197,1,0
I0060198,1,0
I0060199,1,0
I0060200,1,0
I0060201,1,0
I0060202,1,0
I0060203,1,0
I0060204,1,0
I0060205,1,0
I0060206,1,0
I0060207,1,0
I0060208,1,0
I0060209,1,0
I0060210,1,0
I0060211,1,0
I0060212,1,0
I0060213,1,0
I0060214,1,0
I0060215,1,0
I0060216,1,0
I0060217,1,0
I0060218,1,0
I0060219,1,0
I0060220,1,0
I0060221,1,0
I0060222,1,0
I0060223,1,0
I0060224,1,0
I0060225,1,0
I0060226,1,0
I0060227,1,0
I0060228,1,0
I0060229,1,0
I0060230,1,0
I0060231,1,0
I0060232,1,0
I0060233,1,0
I0060234,1,0
I0060235,1,0
I0060236,1,0
I0060237,1,0
I0060238,1,0
I0060239,1,0
I0060240,1,0
I0060241,1,0
I0060242,1,0
I0060243,1,0
I0060244,1,1
I0060245,1,0
I0060246,1,0
I0060247,1,0
I0060248,1,0
I0060249,1,0
I0060250,1,0
I0060251,1,0
I0060252,1,0
I0060253,1,0
I0060254,1,0
I0060255,1,0
I0060256,1,0
I0060257,1,0
I0060258,1,0
I0060259,1,0
I0060260,1,0
I0060261,1,0
I0060262,1,0
I0060263,1,0
I0060264,1,0
I0060265,1,0
I0060266,1,0
I0060267,1,0
I0060268,1,0
I0060269,1,0
I0060270,1,0
I0060271,1,0
I0060272,1,0
I0060273,1,0
I0060274,1,0
I0060275,1,0
I0060276,1,1
I0060277,1,0
I0060278,1,0
I0060279,1,0
I0060280,1,0
I0060281,1,0
I0060282,1,0
I0060283,1,0
I0060284,1,0
I0060285,1,0
I0060286,1,0
I0060287,1,0
I0060288,1,0
I0060289,1,1
I0060290,1,0
I0060291,1,0
I0060292,1,0
I0060293,1,0
I0060294,1,0
I0060295,1,0
I0060296,1,0
I0060297,1,0
I0060298,1,0
I0060299,1,0
I0060300,1,0
I0060301,1,0
I0060302,1,0
I0060303,1,0
I0060304,1,0
I0060305,1,1
I0060306,1,0
I0060307,1,0
I0060308,1,0
I0060309,1,0
I0060310,1,1
I0060311,1,0
I0060312,1,0
I0060313,1,0
I0060314,1,0
I0060315,1,1
I0060316,1,0
I0060317,1,0
I0060318,1,0
I0060319,1,0
I0060320,1,0
I0060321,1,0
I0060322,1,0
I0060323,1,0
I0060324,1,0
I0060325,1,0
I0060326,1,0
I0060327,1,0
I0060328,1,0
I0060329,1,0
I0060330,1,0
I0060331,1,0
I0060332,1,0
I0060333,1,0
I0060334,1,0
I0060335,1,0
I0060336,1,0
I0060337,1,0
I0060338,1,0
I0060339,1,0
I0060340,1,0
I0060341,1,0
I0060342,1,0
I0060343,1,0
I0060344,1,0
I0060345,1,0
I0060346,1,0
I0060347,1,0
I0060348,1,0
I0060349,1,0
I0060350,1,0
I0060351,1,0
I0060352,1,0
I0060353,1,0
I0060354,1,0
I0060355,1,0
I0060356,1,0
I0060357,1,0
I0060358,1,0
I0060359,1,0
I0060360,1,0
I0060361,1,0
I0060362,1,0
I0060363,1,0
I0060364,1,0
I0060365,1,0
I0060366,1,0
I0060367,1,0
I0060368,1,0
I0060369,1,0
I0060370,1,0
I0060371,1,0
I0060372,1,0
I0060373,1,0
I0060374,1,0
I0060375,1,0
I0060376,1,0
I0060377,1,0
I0060378,1,0
I0060379,1,0
I0060380,1,0
I0060381,1,0
I0060382,1,0
I0060383,1,0
I0060384,1,0
I0060385,1,0
I0060386,1,0
I0060387,1,0
I0060388,1,0
I0060389,1,0
I0060390,1,0
I0060391,1,0
I0060392,1,0
I0060393,1,0
I0060394,1,0
I0060395,1,0
I0060396,1,0
I0060397,1,0
I0060398,1,0
I0060399,1,0
I0060400,1,0
I0060401,1,0
I0060402,1,0
I0060403,1,0
I0060404,1,0
I0060405,1,0
I0060406,1,0
I0060407,1,0
I0060408,1,0
I0060409,1,0
I0060410,1,0
I0060411,1,0
I0060412,1,0
I0060413,1,0
I0060414,1,0
I0060415,1,0
I0060416,1,0
I0060417,1,0
I0060418,1,0
I0060419,1,0
I0060420,1,0
I0060421,1,0
I0060422,1,0
I0060423,1,0
I0060424,1,0
I0060425,1,0
I0060426,1,0
I0060427,1,0
I0060428,1,0
I0060429,1,0
I0060430,1,0
I0060431,1,0
I0060432,1,0
I0060433,1,0
I0060434,1,0
I0060435,1,0
I0060436,1,0
I0060437,1,0
I0060438,1,0
I0060439,1,0
I0060440,1,0
I0060441,1,0
I0060442,1,0
I0060443,1,0
I0060444,1,0
I0060445,1,0
I0060446,1,0
I0060447,1,0
I0060448,1,0
I0060449,1,0
I0060450,1,0
I0060451,1,0
I0060452,1,0
I0060453,1,0
I0060454,1,0
I0060455,1,0
I0060456,1,0
I0060457,1,0
I0060458,1,0
I0060459,1,0
I0060460,1,0
I0060461,1,0
I0060462,1,0
I0060463,1,0
I0060464,1,0
I0060465,1,0
I0060466,1,0
I0060467,1,0
I0060468,1,0
I0060469,1,0
I0060470,1,0
I0060471,1,0
I0060472,1,0
I0060473,1,0
I0060474,1,0
I0060475,1,0
I0060476,1,0
I0060477,1,0
I0060478,1,0
I0060479,1,0
I0060480,1,0
I0060481,1,0
I0060482,1,0
I0060483,1,0
I0060484,1,0
I0060485,1,0
I0060486,1,0
I0060487,1,0
I0060488,1,0
I0060489,1,0
I0060490,1,0
I0060491,1,0
I0060492,1,0
I0060493,1,0
I0060494,1,0
I0060495,1,0
I0060496,1,0
I0060497,1,0
I0060498,1,0
I0060499,1,0
I0060500,1,0
I0060501,1,0
I0060502,1,0
I0060503,1,0
I0060504,1,0
I0060505,1,0
I0060506,1,0
I0060507,1,0
I0060508,1,0
I0060509,1,0
I0060510,1,0
I0060511,1,0
I0060512,1,0
I0060513,1,0
I0060514,1,0
I0060515,1,0
I0060516,1,0
I0060517,1,0
I0060518,1,0
I0060519,1,0
I0060520,1,0
I0060521,1,0
I0060522,1,0
I0060523,1,0
I0060524,1,0
I0060525,1,0
I0060526,1,0
I0060527,1,0
I0060528,1,0
I0060529,1,0
I0060530,1,0
I0060531,1,0
I0060532,1,0
I0060533,1,0
I0060534,1,0
I0060535,1,0
I0060536,1,0
I0060537,1,0
I0060538,1,0
I0060539,1,0
I0060540,1,0
I0060541,1,0
I0060542,1,0
I0060543,1,0
I0060544,1,0
I0060545,1,0
I0060546,1,0
I0060547,1,0
I0060548,1,0
I0060549,1,0
I0060550,1,0
I0060551,1,0
I0060552,1,0
I0060553,1,0
I0060554,1,0
I0060555,1,0
I0060556,1,0
I0060557,1,0
I0060558,1,0
I0060559,1,0
I0060560,1,0
I0060561,1,0
I0060562,1,0
I0060563,1,0
I0060564,1,0
I0060565,1,0
I0060566,1,0
I0060567,1,0
I0060568,1,0
I0060569,1,0
I0060570,1,0
I0060571,1,0
I0060572,1,0
I0060573,1,0
I0060574,1,0
I0060575,1,0
I0060576,1,0
I0060577,1,0
I0060578,1,0
I0060579,1,0
I0060580,1,0
I0060581,1,0
I0060582,1,0
I0060583,1,0
I0060584,1,0
I0060585,1,0
I0060586,1,0
I0060587,1,0
I0060588,1,0
I0060589,1,0
I0060590,1,0
I0060591,1,0
I0060592,1,0
I0060593,1,0
I0060594,1,0
I0060595,1,0
I0060596,1,0
I0060597,1,0
I0060598,1,0
I0060599,1,0
I0060600,1,0
I0060601,1,0
I0060602,1,0
I0060603,1,0
I0060604,1,0
I0060605,1,0
I0060606,1,0
I0060607,1,0
I0060608,1,0
I0060609,1,0
I0060610,1,0
I0060611,1,0
I0060612,1,0
I0060613,1,0
I0060614,1,0
I0060615,1,0
I0060616,1,0
I0060617,1,0
I0060618,1,0
