sku,qty,is_in_stock,price
I0010005,0,1,4.83
I0010006,0,1,4.83
I0010007,0,1,4.83
I0010008,0,1,4.83
I0010009,0,1,4.83
I0010010,0,1,4.83
I0010011,0,1,4.83
I0010012,0,1,4.83
I0010013,2,0,18.98
I0010014,1,0,24.84
I0010015,24,0,24.84
I0010016,31,0,26.91
I0010017,0,1,20.01
I0010018,0,1,19.32
I0010019,40,0,23.46
I0010020,28,0,23.46
I0010021,0,1,26.22
I0010022,0,1,26.22
I0010023,0,1,26.22
I0010024,0,1,26.22
I0010025,0,1,24.84
I0010026,3,0,35.88
I0010027,13,0,17.94
I0010028,27,0,17.25
I0010029,8,0,17.94
I0010030,10,0,17.25
I0010031,19,0,17.25
I0010032,9,0,10.35
I0010033,18,0,9.66
I0010034,11,0,10.35
I0010035,12,0,10.35
I0010036,24,0,9.66
I0010037,15,0,10.35
I0010038,23,0,9.66
I0010039,100,0,10.35
I0010040,81,0,10.35
I0010041,0,1,10.35
I0010042,2,0,10.35
I0010043,11,0,10.7
I0010044,0,1,10.7
I0010045,5,0,10.35
I0010046,18,0,9.66
I0010047,10,0,9.66
I0010048,0,1,17.94
I0010049,1,0,16.56
I0010050,3,0,20.7
I0010051,0,1,15.18
I0010052,0,1,15.18
I0010053,251,0,15.18
I0010054,0,1,15.18
I0010055,0,1,15.18
I0010056,-12,1,15.18
I0010057,0,1,15.18
I0010058,0,1,15.18
I0010059,-5,1,16.56
I0010060,68,0,17.25
I0010061,-14,1,17.25
I0010062,0,1,17.25
I0010063,0,1,20.7
I0010064,0,1,38.64
I0010065,0,1,23.03
I0010066,1,0,23.46
I0010067,18,0,11.39
I0010068,18,0,20.7
I0010069,42,0,20.7
I0010070,24,0,20.7
I0010071,0,1,20.7
I0010072,42,0,20.7
I0010073,1,0,26.22
I0010074,39,0,17.94
I0010075,2,0,22.08
I0010076,102,0,19.32
I0010077,0,1,33.12
I0010078,2,0,33.12
I0010079,3,0,41.4
I0010080,-6,1,46.92
I0010081,-3,1,30.36
I0010082,4,0,30.36
I0010083,1,0,30.36
I0010084,3,0,33.12
I0010085,3,0,33.12
I0010086,6,0,30.36
I0010087,4,0,30.36
I0010088,1,0,30.36
I0010089,2,0,30.36
I0010090,3,0,33.12
I0010091,3,0,33.12
I0010092,3,0,30.36
I0010093,3,0,30.36
I0010094,1,0,30.36
I0010095,-2,1,30.36
I0010096,2,0,46.92
I0010097,3,0,31.74
I0010098,0,1,1.38
I0010099,0,1,1.38
I0010100,0,1,1.38
I0010101,0,1,1.38
I0010102,0,1,1.38
I0010103,0,1,1.38
I0010104,0,1,1.38
I0010105,0,1,1.38
I0010106,0,1,14.02
I0010107,2,0,14.15
I0010108,0,1,14.57
I0010109,0,1,14.15
I0010110,0,1,35.88
I0010111,0,1,35.88
I0010112,0,1,35.88
I0010113,0,1,35.88
I0010114,0,1,35.88
I0010115,1,0,35.88
I0010116,14,0,35.88
I0010117,0,1,35.88
I0010118,0,1,35.88
I0010119,9,0,35.88
I0010120,3,0,35.88
I0010121,7,0,35.88
I0010122,0,1,35.88
I0010123,0,1,35.88
I0010124,0,1,35.88
I0010125,8,0,35.88
I0010126,-2,1,35.88
I0010127,9,0,35.88
I0010128,1,0,35.88
I0010129,0,1,35.88
I0010130,0,1,35.88
I0010131,-4,1,35.88
I0010132,1,0,35.88
I0010133,5,0,30.36
I0010134,3,0,13.46
I0010135,0,1,41.4
I0010136,1,0,20.7
I0010137,0,1,20.7
I0010138,0,1,20.7
I0010139,2,0,40.02
I0010140,0,1,40.02
I0010141,3,0,13.46
I0010142,0,1,20.7
I0010143,2,0,20.7
I0010144,1,0,40.02
I0010145,-60,1,20.7
I0010146,0,1,22.08
I0010147,0,1,20.7
I0010148,1,0,40.02
I0010149,0,1,40.02
I0010150,1,0,40.02
I0010151,33,0,40.02
I0010152,72,0,22.08
I0010153,7,0,40.02
I0010154,1,0,40.02
I0010155,0,1,20.7
I0010156,-31,1,22.08
I0010157,83,0,22.08
I0010158,0,1,1.04
I0010159,31,0,28.98
I0010160,4,0,37.95
I0010161,3,0,37.95
I0010162,4,0,37.95
I0010163,2,0,37.95
I0010164,7,0,37.95
I0010165,13,0,37.95
I0010166,0,1,30.36
I0010167,0,1,30.36
I0010168,2,0,15.18
I0010169,1,0,15.18
I0010170,0,1,1.93
I0010171,0,1,1.93
I0010172,0,1,1.93
I0010173,0,1,1.93
I0010174,0,1,1.93
I0010175,0,1,1.93
I0010176,0,1,1.93
I0010177,0,1,1.93
I0010178,0,1,0.55
I0010179,0,1,1.38
I0010180,0,1,1.38
I0010181,0,1,1.38
I0010182,0,1,1.38
