sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,crosssell_skus,upsell_skus,additional_images,additional_image_labels,hide_from_product_page,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,configurable_variations,configurable_variation_labels,associated_skus
I0000012-c,,Default,simple,Default Category/ACCESSORY,base,19 Liquid Lather,19 Liquid Lather by WAHL Professional for Men - 12 oz Liquid Lather,19 Liquid Lather by WAHL Professional for Men - 12 oz Liquid Lather,1,1,Taxable Goods,"Catalog, Search",8.76,,,,I0000012-c,,,,images/I0000012.png,,images/I0000012.png,,images/I0000012.png,,,,,,,,Block after Info Column,,,,,,,,,,,,,"designer=WAHL Professional,type=Liquid Lather,gender=Men,upc=43917689074,pwwsku=ACC-1632",2,0,1,0,0,1,1,1,0,1,1,,1,0,0,1,1,0,0,0,1,,,,,,,,,,,,"sku=I0000011,size=12 oz|sku=I0000012,size=64 oz",,
I0000036-c,,Default,simple,Default Category/ACCESSORY,base,Black Logo - Leather,Black Logo - Leather by Gucci for Men - 100 CM Belt,Black Logo - Leather by Gucci for Men - 100 CM Belt,1,1,Taxable Goods,"Catalog, Search",281.78,,,,I0000036-c,,,,images/I0000036.png,,images/I0000036.png,,images/I0000036.png,,,,,,,,Block after Info Column,,,,,,,,,,,,,"designer=Gucci,type=Belt,gender=Men,pwwsku=ACC-1229",0,1,1,0,0,1,1,1,0,1,1,,1,0,0,1,1,0,0,0,1,,,,,,,,,,,,"sku=I0000032,size=100 CM|sku=I0000033,size=105 CM|sku=I0000034,size=110 CM|sku=I0000035,size=90 CM|sku=I0000036,size=95 CM",,
I0000039-c,,Default,simple,Default Category/ACCESSORY,base,Black Red Green Stripe - Classic,Black Red Green Stripe - Classic by Gucci for Men - 100 cm Belt,Black Red Green Stripe - Classic by Gucci for Men - 100 cm Belt,1,1,Taxable Goods,"Catalog, Search",288.68,,,,I0000039-c,,,,images/I0000039.png,,images/I0000039.png,,images/I0000039.png,,,,,,,,Block after Info Column,,,,,,,,,,,,,"designer=Gucci,type=Belt,gender=Men,pwwsku=ACC-1202",0,1,1,0,0,1,1,1,0,1,1,,1,0,0,1,1,0,0,0,1,,,,,,,,,,,,"sku=I0000037,size=100 cm|sku=I0000038,size=105 CM|sku=I0000039,size=95 CM",,
I0000055-c,,Default,simple,Default Category/ACCESSORY,base,Grey/Brown Logo,Grey/Brown Logo by Gucci for Men - 100 cm Belt,Grey/Brown Logo by Gucci for Men - 100 cm Belt,1,1,Taxable Goods,"Catalog, Search",224.33,,,,I0000055-c,,,,images/I0000055.png,,images/I0000055.png,,images/I0000055.png,,,,,,,,Block after Info Column,,,,,,,,,,,,,"designer=Gucci,type=Belt,gender=Men,pwwsku=ACC-1203",0,1,1,0,0,1,1,1,0,1,1,,1,0,0,1,1,0,0,0,1,,,,,,,,,,,,"sku=I0000053,size=100 cm|sku=I0000054,size=90 CM|sku=I0000055,size=95 cm",,
I0000061-c,,Default,simple,Default Category/ACCESSORY,base,Navy Red Logo - Guccissima,Navy Red Logo - Guccissima by Gucci for Men - 100 CM Belt,Navy Red Logo - Guccissima by Gucci for Men - 100 CM Belt,1,1,Taxable Goods,"Catalog, Search",200.49,,,,I0000061-c,,,,images/I0000061.png,,images/I0000061.png,,images/I0000061.png,,,,,,,,Block after Info Column,,,,,,,,,,,,,"designer=Gucci,type=Belt,gender=Men,pwwsku=ACC-1213",0,1,1,0,0,1,1,1,0,1,1,,1,0,0,1,1,0,0,0,1,,,,,,,,,,,,"sku=I0000060,size=100 CM|sku=I0000061,size=110 CM",,
