sku,qty,is_in_stock,price
I0000001,0,0,2.83
I0000002,10,1,11.23
I0000003,0,0,11.94
I0000004,-1,0,5.52
I0000005,0,0,8.63
I0000006,14,1,8.28
I0000007,1,1,8.63
I0000008,0,0,11.73
I0000009,0,0,1.61
I0000010,0,0,2.77
I0000011,0,0,8.76
I0000012,0,0,28.98
I0000013,22,1,22.08
I0000014,0,0,277.57
I0000015,0,0,220.26
I0000016,0,0,302.32
I0000017,0,0,196.39
I0000018,0,0,229.12
I0000019,4,1,7.73
I0000020,1,1,7.73
I0000021,23,1,7.73
I0000022,18,1,7.73
I0000023,14,1,7.73
I0000024,18,1,7.73
I0000025,3,1,7.73
I0000026,16,1,7.73
I0000027,25,1,7.73
I0000028,18,1,7.73
I0000029,0,0,250.39
I0000030,0,0,194.54
I0000031,0,0,200.96
I0000032,0,0,281.78
I0000033,0,0,282.75
I0000034,0,0,233.8
I0000035,0,0,222.75
I0000036,0,0,281.78
I0000037,0,0,288.68
I0000038,0,0,228.85
I0000039,0,0,281.91
I0000040,0,0,232.85
I0000041,0,0,222.19
I0000042,0,0,215.82
I0000043,0,0,220.41
I0000044,0,0,5.52
I0000045,0,0,7.59
I0000046,0,0,42.78
I0000047,16,1,93.84
I0000048,0,0,4.95
I0000049,0,0,55.2
I0000050,0,0,281.78
I0000051,0,0,235.01
I0000052,0,0,271.18
I0000053,0,0,224.33
I0000054,0,0,246.58
I0000055,0,0,322.56
I0000056,24,1,6.9
I0000057,0,0,12.42
I0000058,16,1,6.9
I0000059,1,1,0.69
I0000060,0,0,200.49
I0000061,0,0,281.78
I0000062,0,0,278.5
I0000063,0,0,277.53
I0000064,0,0,250.83
I0000065,0,0,182.73
I0000066,0,0,318.09
I0000067,0,0,250.83
I0000068,2,1,3.45
I0000069,2,1,5.52
I0000070,0,0,249.86
I0000071,0,0,174.23
I0000072,0,0,245.65
I0000073,0,0,236.35
I0000074,0,0,194.1
I0000075,0,0,110.4
I0000076,0,0,1.37
I0000077,0,0,1.63
I0000078,0,0,2
I0000079,0,0,1.88
I0000080,0,0,3.62
I0000081,433,1,4.14
I0000082,0,0,1.16
I0000083,0,0,1.17
I0000084,0,0,1.15
I0000085,0,0,1.16
I0000086,0,0,1.16
I0000087,0,0,1.17
I0000088,0,0,1.06
I0000089,0,0,1.16
I0000090,0,0,0
I0000091,0,0,0
I0000092,0,0,0
I0000093,0,0,0
I0000094,0,0,2.42
I0000095,0,0,4.83
I0000096,0,0,7.59
I0000097,0,0,110.4
I0000098,0,0,1.04
I0000099,12,1,4.14
I0000100,0,0,3.45
I0000101,0,0,6.9
I0000102,0,0,23.46
I0000103,4,1,2.76
I0000104,0,0,60.72
I0000105,0,0,49.57
I0000106,0,0,19.32
I0000107,0,0,60.72
I0000108,0,0,1.45
I0000109,0,0,1.77
I0000110,0,0,2.13
I0000111,0,0,1.17
I0000112,0,0,1.2
I0000113,0,0,1.12
I0000114,6,1,6.21
I0000115,0,0,0.22
I0000116,0,0,1.93
I0000119,0,0,0.22
I0000120,0,0,2.21
I0000121,9,1,63.73
I0000122,0,0,1.04
I0000123,0,0,2.21
I0000124,0,0,1.84
I0000125,2,1,33.12
I0000126,0,0,3.45
I0000127,0,0,62.1
I0000128,469,1,11.04
I0000129,2,1,11.04
I0000130,0,0,2.42
I0000131,0,0,3.45
I0000132,0,0,7.59
I0000133,67,1,3.11
I0000134,0,0,0
I0000135,0,0,0.59
I0000136,0,0,1.7
I0000137,0,0,1.48
I0000138,19,1,5.52
I0000139,0,0,0
I0000140,0,0,60.72
I0000141,0,0,1.16
I0000142,0,0,1.95
I0000143,0,0,1.95
I0000144,0,0,1.92
I0000145,0,0,1.92
I0000146,0,0,60.72
I0000147,0,0,2.39
I0000148,0,0,15.18
I0000149,2,1,158.7
I0000150,0,0,99.36
I0000151,1,1,46.92
I0000152,3,1,46.92
I0000153,0,0,46.92
I0000154,2,1,1.38
I0000155,0,0,30.36
I0000156,0,0,0.92
I0000157,110,1,17.71
I0000158,80,1,17.72
I0000159,70,1,17.71
I0000160,80,1,17.72
I0000161,80,1,17.71
I0000162,22,1,17.72
I0000163,72,1,6.9
I0000164,0,0,1.24
I0000165,0,0,0
I0000166,0,0,0
I0000167,0,0,60.72
I0000168,0,0,0.47
I0000169,0,0,3.64
I0000170,0,0,16.62
I0000171,0,0,16.55
I0000172,1,1,13.11
I0000173,0,0,1.16
I0000174,1,1,3.45
I0000175,0,0,7.59
I0000176,46,1,4.14
I0000177,0,0,1.31
I0000178,0,0,1.31
I0000179,0,0,1.31
I0000180,0,0,1.27
I0000181,0,0,1.28
I0000182,0,0,1.31
I0000183,0,0,34.5
I0000184,0,0,0.73
I0000185,0,0,33.12
I0000186,2,1,130.58
I0000187,53,1,11.73
I0000188,0,0,1.82
I0000189,0,0,0
I0000190,13,1,18.52
I0000191,16,1,13.8
I0000192,0,0,33.12
I0000193,0,0,3.45
I0000194,0,0,7.59
I0000195,0,0,0
I0000196,0,0,0.19
I0000197,0,0,6.9
I0000198,0,0,5.52
I0000199,3,1,33.12
I0000200,0,0,1.31
I0000201,0,0,7.37
I0000202,0,0,7.59
I0000203,0,0,7.59
I0000204,0,0,9.8
I0000205,0,0,3.97
I0000206,0,0,3.73
I0000207,0,0,1.44
I0000208,0,0,1.23
I0000209,0,0,15.18
I0000210,0,0,158.7
I0000211,1,1,62.1
