sku,qty,is_in_stock,price
I0023653,11,1,8.97
I0023654,3,1,10.35
I0023655,0,0,10.35
I0023656,57,1,8.97
I0023657,3,1,10.35
I0023658,0,0,7.59
I0023659,0,0,10.35
I0023660,0,0,8.97
I0023661,161,1,8.28
I0023662,9,1,10.35
I0023663,3,1,8.28
I0023664,27,1,8.28
I0023665,2,1,10.35
I0023666,2,1,10.35
I0023667,20,1,10.35
I0023668,25,1,8.28
I0023669,0,0,8.28
I0023670,3,1,8.97
I0023671,3,1,10.35
I0023672,0,0,8.97
I0023673,1,1,8.28
I0023674,3,1,8.28
I0023675,5,1,8.28
I0023676,37,1,8.28
I0023677,19,1,7.59
I0023678,26,1,7.59
I0023679,37,1,7.59
I0023680,35,1,9.66
I0023681,12,1,7.59
I0023682,12,1,8.28
I0023683,2,1,9.66
I0023684,1,1,8.97
I0023685,0,0,8.97
I0023686,27,1,8.97
I0023687,3,1,15.87
I0023688,3,1,6.9
I0023689,-3,0,15.87
I0023690,0,0,4.24
I0023691,0,0,5.52
I0023692,0,0,11.73
I0023693,5,1,22.08
I0023694,127,1,20.7
I0023695,27,1,22.08
I0023696,223,1,11.73
I0023697,4532,1,8.97
I0023698,3,1,11.39
I0023699,2,1,85.56
I0023700,1,1,40.71
I0023701,144,1,15.18
I0023702,2,1,2.36
I0023703,2,1,161.46
I0023704,53,1,46.92
I0023705,-3,0,36
I0023706,0,0,35.05
I0023707,0,0,40.02
I0023708,-1,0,56.24
I0023709,-2,0,36.56
I0023710,0,0,8.28
I0023711,14,1,14.49
I0023712,0,0,19.32
I0023713,2,1,13.8
I0023714,0,0,16.56
I0023715,0,0,9.87
I0023716,62,1,41.4
I0023717,-16,0,17.25
I0023718,14,1,9.87
I0023719,0,0,9.87
I0023720,78,1,24.84
I0023721,21,1,26.22
I0023722,0,0,1.37
I0023723,1,1,3.7
I0023724,39,1,23.46
I0023725,5,1,9.66
I0023726,0,0,16.56
I0023727,3,1,68.86
I0023728,73,1,27.6
I0023729,11,1,24.84
I0023730,0,0,15.18
I0023731,2,1,15.87
I0023732,3,1,0.69
I0023733,0,0,102.12
I0023734,0,0,28.98
I0023735,2,1,63.48
I0023736,3,1,102.12
I0023737,-24,0,30.36
I0023738,0,0,82.8
I0023739,0,0,30.36
I0023740,0,0,160.08
I0023741,2,1,33.12
I0023742,3,1,9.66
I0023743,132,1,16.56
I0023744,0,0,24.84
I0023745,0,0,44.16
I0023746,0,0,33.12
I0023747,74,1,2.42
I0023748,1,1,7.59
I0023749,2,1,13.8
I0023750,33,1,33.12
I0023751,40,1,16.56
I0023752,4,1,117.3
I0023753,1,1,103.5
I0023754,0,0,100.74
I0023755,0,0,93.84
I0023756,4,1,24.84
I0023757,5006,1,10.7
I0023758,881,1,8.42
I0023759,7020,1,8.97
I0023760,1044,1,8.28
I0023761,5024,1,8.28
I0023762,1431,1,8.97
I0023763,556,1,10.01
I0023764,1965,1,8.28
I0023765,564,1,6.21
I0023766,13917,1,8.28
I0023767,0,0,2.88
I0023768,13052,1,10.7
I0023769,967,1,2.42
I0023770,0,0,8.97
I0023771,4,1,7.59
I0023772,0,0,5.52
I0023773,3,1,7.25
I0023774,7,1,12.42
I0023775,3,1,7.59
I0023776,5,1,12.42
I0023777,0,0,6.21
I0023778,110,1,4.61
I0023779,0,0,11.01
I0023780,3,1,8.28
I0023781,3,1,8.28
I0023782,2,1,8.28
I0023783,-1,0,13.8
I0023784,16,1,8.28
I0023785,67,1,11.04
I0023786,64,1,11.04
I0023787,0,0,10.01
I0023788,152,1,10.01
I0023789,5,1,11.04
I0023790,3,1,11.73
I0023791,0,0,11.73
I0023792,0,0,11.73
I0023793,3,1,3.44
I0023794,0,0,3.75
I0023795,21,1,11.04
I0023796,0,0,66.24
I0023797,0,0,10.35
I0023798,0,0,22.08
I0023799,0,0,22.08
I0023800,2,1,27.6
I0023801,0,0,8.28
I0023802,6,1,16.56
I0023803,0,0,30.36
I0023804,1,1,24.84
I0023805,14,1,6.9
I0023806,60,1,12.08
I0023807,0,0,30.36
I0023808,0,0,26.22
I0023809,1,1,6.21
I0023810,0,0,15.18
I0023811,22,1,15.18
I0023812,-1,0,26.22
I0023813,0,0,35.88
I0023814,1,1,6.56
I0023815,3,1,7.25
I0023816,27,1,35.88
I0023817,1,1,27.6
I0023818,0,0,3.8
I0023819,3,1,14.15
I0023820,58,1,16.56
I0023821,0,0,12.42
I0023822,23,1,6.9
I0023823,1,1,6.21
I0023824,2,1,8.63
I0023825,1,1,7.59
I0023826,22,1,11.04
I0023827,3,1,6.9
I0023828,3,1,6.9
I0023829,4,1,9.66
I0023830,3,1,20.7
I0023831,10,1,8.97
I0023832,0,0,8.97
I0023833,0,0,7.59
I0023834,0,0,10.35
I0023835,3,1,10.35
I0023836,0,0,17.94
I0023837,0,0,10.49
I0023838,55,1,11.04
I0023839,10,1,11.04
I0023840,10,1,8.28
I0023841,48,1,6.9
I0023842,4,1,13.8
I0023843,1,1,8.63
I0023844,3,1,8.28
I0023845,3,1,8.96
I0023846,25,1,7.45
I0023847,34,1,17.94
I0023848,3,1,7.59
I0023849,0,0,4.35
I0023850,0,0,9.32
I0023851,1,1,7.59
I0023852,3,1,10.7
I0023853,0,0,22.08
I0023854,4,1,8.97
I0023855,17,1,10.7
I0023856,-1,0,6.56
I0023857,0,0,6.9
I0023858,6,1,9.66
I0023859,-3,0,9.66
I0023860,3,1,11.73
I0023861,18,1,17.94
I0023862,19,1,11.73
I0023863,3,1,7.59
I0023864,1,1,7.59
I0023865,0,0,12.42
I0023866,2300,1,17.94
I0023867,0,0,6.9
I0023868,3,1,15.87
I0023869,606,1,15.87
I0023870,6,1,14.49
I0023871,3,1,16.56
I0023872,6,1,28.98
I0023873,2,1,27.6
I0023874,0,0,28.98
I0023875,2,1,12.08
I0023876,3,1,19.38
I0023877,0,0,69
I0023878,-6,0,89.7
I0023879,0,0,56.58
I0023880,0,0,23.46
I0023881,0,0,41.4
I0023882,0,0,27.6
I0023883,0,0,27.6
I0023884,1,1,27.6
I0023885,-1,0,49.68
I0023886,0,0,24.84
I0023887,0,0,55.2
