sku,qty,is_in_stock,price
I0037303,471,1,20.01
I0037304,128,1,20.36
I0037305,292,1,22.08
I0037306,324,1,22.08
I0037307,355,1,22.08
I0037308,221,1,19.32
I0037309,12,1,19.32
I0037310,0,0,0.59
I0037311,2,1,18.63
I0037312,0,0,46.92
I0037313,28,1,34.5
I0037314,0,0,6.2
I0037315,0,0,17.94
I0037316,0,0,4.11
I0037317,0,0,4.25
I0037318,330,1,3.45
I0037319,0,0,10.75
I0037320,3,1,20.7
I0037321,9,1,44.16
I0037322,1,1,62.1
I0037323,136,1,38.64
I0037324,3,1,2.07
I0037325,301,1,62.1
I0037326,30,1,99.36
I0037327,1,1,24.84
I0037328,3,1,24.84
I0037329,0,0,19.32
I0037330,0,0,16.56
I0037331,308,1,27.6
I0037332,1,1,19.32
I0037333,1,1,26.22
I0037334,0,0,18.22
I0037335,444,1,20.7
I0037336,31,1,19.32
I0037337,-2,0,12.42
I0037338,0,0,4.37
I0037339,2,1,4.79
I0037340,0,0,48.3
I0037341,5,1,30.36
I0037342,2,1,19.32
I0037343,6,1,19.32
I0037344,8,1,20.7
I0037345,47,1,24.84
I0037346,0,0,20.12
I0037347,2,1,16.56
I0037348,31,1,17.94
I0037349,2,1,18.63
I0037350,0,0,15.87
I0037351,5,1,15.18
I0037352,3,1,33.12
I0037353,86,1,30.36
I0037354,3,1,17.94
I0037355,0,0,34.5
I0037356,18,1,21.39
I0037357,2,1,59
I0037358,1,1,55.2
I0037359,0,0,26.22
I0037360,2,1,5.75
I0037361,5,1,18.78
I0037362,0,0,9.25
I0037363,7,1,27.6
I0037364,357,1,21.05
I0037365,81,1,32.78
I0037366,0,0,38.64
I0037367,0,0,62.1
I0037368,269,1,7.94
I0037369,523,1,12.08
I0037370,0,0,45.54
I0037371,1,1,75.9
I0037372,0,0,124.2
I0037373,0,0,53.82
I0037374,0,0,53.82
I0037375,0,0,24.84
I0037376,0,0,19.32
I0037377,0,0,20.7
I0037378,0,0,75.9
I0037379,0,0,93.84
